SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01516350,01-01,46.0,62.0,99,158,278,713.0,1040.0
01516350,01-02,42.0,62.0,91,181,286,558.0,680.0
01516350,01-03,41.0,58.0,90,158,257,454.0,818.0
01516350,01-04,42.0,58.0,90,155,331,592.0,681.0
01516350,01-05,38.0,57.0,80,152,283,576.0,877.0
01516350,01-06,39.0,56.0,74,144,266,468.0,671.0
01516350,01-07,38.0,54.0,76,140,244,383.0,465.0
01516350,01-08,42.0,52.0,80,140,227,391.0,539.0
01516350,01-09,41.0,51.0,83,129,258,441.0,1350.0
01516350,01-10,40.0,51.0,75,135,250,371.0,1260.0
01516350,01-11,39.0,50.0,81,144,243,562.0,699.0
01516350,01-12,37.0,48.0,81,151,341,518.0,588.0
01516350,01-13,36.0,45.0,77,152,379,817.0,1110.0
01516350,01-14,35.0,41.0,75,140,357,652.0,1130.0
01516350,01-15,38.0,45.0,75,133,317,512.0,895.0
01516350,01-16,38.0,45.0,72,130,286,538.0,723.0
01516350,01-17,38.0,44.0,73,123,271,418.0,509.0
01516350,01-18,37.0,47.0,80,134,264,369.0,571.0
01516350,01-19,36.0,48.0,85,133,241,352.0,989.0
01516350,01-20,36.0,48.0,80,126,231,636.0,1340.0
01516350,01-21,37.0,43.0,76,116,203,458.0,1060.0
01516350,01-22,33.0,38.0,73,114,195,409.0,644.0
01516350,01-23,33.0,37.0,73,111,208,438.0,616.0
01516350,01-24,35.0,41.0,70,126,292,692.0,1330.0
01516350,01-25,36.0,46.0,73,127,251,596.0,1790.0
01516350,01-26,35.0,43.0,76,124,289,731.0,1440.0
01516350,01-27,35.0,43.0,74,130,240,794.0,1420.0
01516350,01-28,35.0,43.0,70,120,222,625.0,1120.0
01516350,01-29,34.0,42.0,67,120,231,519.0,813.0
01516350,01-30,36.0,47.0,66,128,275,432.0,608.0
01516350,01-31,34.0,53.0,73,120,252,364.0,476.0
01516350,02-01,34.0,50.0,72,127,270,417.0,582.0
01516350,02-02,40.0,52.0,72,127,258,449.0,720.0
01516350,02-03,38.0,51.0,71,147,262,513.0,708.0
01516350,02-04,44.0,52.0,73,140,246,368.0,714.0
01516350,02-05,40.0,48.0,71,146,232,489.0,638.0
01516350,02-06,37.0,47.0,66,138,209,318.0,583.0
01516350,02-07,38.0,46.0,66,131,186,511.0,716.0
01516350,02-08,38.0,42.0,66,123,184,441.0,958.0
01516350,02-09,35.0,44.0,65,115,169,509.0,600.0
01516350,02-10,32.0,42.0,68,119,188,440.0,614.0
01516350,02-11,33.0,47.0,69,117,192,408.0,750.0
01516350,02-12,42.0,50.0,71,117,255,462.0,747.0
01516350,02-13,39.0,50.0,68,128,275,393.0,632.0
01516350,02-14,41.0,46.0,66,131,213,353.0,456.0
01516350,02-15,40.0,48.0,80,130,208,382.0,513.0
01516350,02-16,37.0,45.0,81,135,229,610.0,1430.0
01516350,02-17,37.0,48.0,84,133,232,533.0,865.0
01516350,02-18,40.0,56.0,79,129,246,807.0,1840.0
01516350,02-19,39.0,51.0,86,132,274,653.0,984.0
01516350,02-20,39.0,50.0,78,141,319,587.0,974.0
01516350,02-21,41.0,52.0,87,146,324,824.0,1210.0
01516350,02-22,49.0,61.0,95,147,324,713.0,949.0
01516350,02-23,55.0,65.0,99,160,329,618.0,1140.0
