SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01505000,01-01,130.0,170,249,405,717,1110,1460.0
01505000,01-02,145.0,160,245,390,667,1120,1770.0
01505000,01-03,135.0,160,223,410,637,910,1590.0
01505000,01-04,130.0,168,229,410,654,1020,1390.0
01505000,01-05,125.0,160,220,400,633,1030,1200.0
01505000,01-06,118.0,159,220,390,611,905,997.0
01505000,01-07,122.0,150,220,386,620,860,970.0
01505000,01-08,125.0,150,215,350,540,760,1080.0
01505000,01-09,135.0,150,200,363,520,704,975.0
01505000,01-10,135.0,150,215,360,518,832,1180.0
01505000,01-11,140.0,155,220,344,495,961,1310.0
01505000,01-12,130.0,155,220,341,510,1010,1260.0
01505000,01-13,130.0,150,220,340,580,1010,1160.0
01505000,01-14,130.0,145,220,320,572,976,1310.0
01505000,01-15,135.0,150,200,348,630,953,1320.0
01505000,01-16,135.0,160,190,340,599,993,1080.0
01505000,01-17,130.0,145,190,324,577,757,929.0
01505000,01-18,120.0,140,199,310,562,756,877.0
01505000,01-19,116.0,135,200,310,545,690,955.0
01505000,01-20,112.0,140,200,290,508,800,1000.0
01505000,01-21,125.0,145,200,300,492,767,1040.0
01505000,01-22,130.0,150,190,310,497,800,969.0
01505000,01-23,135.0,150,190,320,500,894,1080.0
01505000,01-24,130.0,150,220,340,560,955,1500.0
01505000,01-25,135.0,150,210,360,659,1180,1620.0
01505000,01-26,135.0,145,207,340,660,1120,1670.0
01505000,01-27,130.0,140,210,361,740,1240,1960.0
01505000,01-28,125.0,140,200,320,668,1220,1420.0
01505000,01-29,120.0,130,200,330,640,900,1140.0
01505000,01-30,110.0,130,200,340,577,883,1050.0
01505000,01-31,106.0,125,200,320,500,800,1310.0
01505000,02-01,100.0,125,190,330,540,896,1300.0
01505000,02-02,100.0,125,185,320,546,843,1050.0
01505000,02-03,98.0,120,192,338,600,883,1160.0
01505000,02-04,98.0,120,190,300,560,861,1140.0
01505000,02-05,100.0,116,190,320,500,829,1160.0
01505000,02-06,100.0,130,190,301,477,760,1000.0
01505000,02-07,100.0,120,210,299,450,700,1030.0
01505000,02-08,104.0,130,205,290,446,720,900.0
01505000,02-09,102.0,125,200,270,410,720,828.0
01505000,02-10,100.0,120,198,260,410,684,962.0
01505000,02-11,110.0,130,195,280,420,670,1200.0
01505000,02-12,110.0,140,195,270,407,660,1180.0
01505000,02-13,120.0,150,190,270,413,777,1130.0
01505000,02-14,118.0,150,190,270,408,820,2030.0
01505000,02-15,100.0,160,191,280,410,780,1590.0
01505000,02-16,96.0,160,192,300,493,960,1950.0
01505000,02-17,98.0,150,195,303,500,920,1870.0
01505000,02-18,100.0,150,195,300,545,1210,1920.0
01505000,02-19,100.0,150,200,290,563,1090,1600.0
01505000,02-20,106.0,150,190,280,610,1280,1820.0
01505000,02-21,100.0,140,200,300,630,1250,2180.0
01505000,02-22,110.0,140,188,310,660,1030,1990.0
01505000,02-23,110.0,150,200,316,680,1270,1730.0
01505000,02-24,110.0,150,205,353,680,1490,2110.0
01505000,02-25,106.0,140,220,358,605,1670,2070.0
01505000,02-26,102.0,140,215,400,687,1380,1640.0
01505000,02-27,98.0,140,213,385,734,1330,1570.0
01505000,02-28,94.0,130,240,370,781,1150,1230.0
01505000,02-29,82.0,92,195,370,500,959,1510.0
01505000,03-01,92.0,150,220,367,742,1010,1670.0
