SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01650500,01-01,4.8,6.9,10.0,16.0,29.0,75.0,187.0
01650500,01-02,5.2,7.3,10.0,15.0,26.0,51.0,106.0
01650500,01-03,5.8,7.4,9.9,15.0,27.0,59.0,123.0
01650500,01-04,5.4,6.7,11.0,15.0,26.0,46.0,70.0
01650500,01-05,5.8,6.7,10.0,16.0,24.0,38.0,79.0
01650500,01-06,6.8,8.4,11.0,15.0,23.0,42.0,59.0
01650500,01-07,6.8,7.8,11.0,15.0,22.0,46.0,71.0
01650500,01-08,5.8,7.4,11.0,14.0,23.0,42.0,63.0
01650500,01-09,6.0,7.1,11.0,14.0,24.0,45.0,211.0
01650500,01-10,5.9,6.8,11.0,15.0,26.0,55.0,84.0
01650500,01-11,6.7,7.5,11.0,16.0,22.0,31.0,50.0
01650500,01-12,6.4,8.0,11.0,15.0,20.0,42.0,66.0
01650500,01-13,6.1,8.0,11.0,15.0,23.0,38.0,72.0
01650500,01-14,6.1,7.4,10.0,15.0,22.0,45.0,96.0
01650500,01-15,5.8,7.2,11.0,15.0,24.0,50.0,63.0
01650500,01-16,5.6,7.2,11.0,15.0,22.0,30.0,58.0
01650500,01-17,6.1,7.3,11.0,15.0,21.0,30.0,63.0
01650500,01-18,6.5,8.4,11.0,15.0,22.0,45.0,103.0
01650500,01-19,6.7,8.0,11.0,16.0,23.0,41.0,80.0
01650500,01-20,7.6,8.1,11.0,15.0,23.0,60.0,88.0
01650500,01-21,6.5,7.9,11.0,16.0,24.0,50.0,79.0
01650500,01-22,6.2,8.0,11.0,16.0,26.0,45.0,67.0
01650500,01-23,7.5,8.5,12.0,17.0,27.0,45.0,63.0
01650500,01-24,7.0,8.0,12.0,16.0,25.0,55.0,142.0
01650500,01-25,6.4,7.8,11.0,15.0,34.0,66.0,160.0
01650500,01-26,6.3,7.5,11.0,15.0,29.0,45.0,63.0
01650500,01-27,6.5,7.4,11.0,16.0,23.0,40.0,52.0
01650500,01-28,6.4,7.3,11.0,16.0,21.0,33.0,100.0
01650500,01-29,6.7,8.0,11.0,16.0,22.0,43.0,66.0
01650500,01-30,6.2,8.5,11.0,15.0,24.0,32.0,81.0
01650500,01-31,6.1,7.8,12.0,16.0,23.0,46.0,63.0
01650500,02-01,6.3,8.0,10.0,17.0,24.0,41.0,88.0
01650500,02-02,6.9,8.4,12.0,17.0,27.0,60.0,106.0
01650500,02-03,6.2,8.8,12.0,17.0,27.0,64.0,203.0
01650500,02-04,6.9,9.5,12.0,17.0,28.0,86.0,161.0
01650500,02-05,7.0,9.2,12.0,17.0,28.0,59.0,89.0
01650500,02-06,7.0,9.8,13.0,17.0,30.0,52.0,79.0
01650500,02-07,7.6,9.0,13.0,20.0,39.0,107.0,177.0
01650500,02-08,7.6,9.0,13.0,18.0,26.0,52.0,80.0
01650500,02-09,7.9,9.4,13.0,17.0,23.0,39.0,53.0
01650500,02-10,8.0,8.9,12.0,17.0,25.0,43.0,74.0
01650500,02-11,7.4,9.0,13.0,17.0,28.0,75.0,116.0
01650500,02-12,8.2,10.0,13.0,17.0,26.0,42.0,69.0
01650500,02-13,8.2,11.0,13.0,18.0,27.0,61.0,179.0
01650500,02-14,7.6,10.0,14.0,21.0,34.0,65.0,118.0
01650500,02-15,7.6,9.5,14.0,19.0,32.0,55.0,92.0
01650500,02-16,7.2,8.9,14.0,19.0,30.0,61.0,112.0
01650500,02-17,8.5,9.9,14.0,20.0,29.0,67.0,90.0
01650500,02-18,9.0,9.5,14.0,21.0,31.0,58.0,130.0
01650500,02-19,8.5,10.0,14.0,19.0,36.0,80.0,196.0
01650500,02-20,7.7,10.0,13.0,18.0,33.0,60.0,94.0
01650500,02-21,7.6,9.8,12.0,20.0,31.0,47.0,106.0
01650500,02-22,8.0,10.0,13.0,20.0,32.0,73.0,131.0
01650500,02-23,7.6,9.1,13.0,20.0,37.0,77.0,141.0
01650500,02-24,7.2,9.9,13.0,18.0,36.0,63.0,142.0
01650500,02-25,7.2,9.8,13.0,22.0,30.0,56.0,137.0
01650500,02-26,7.8,9.9,14.0,20.0,30.0,90.0,191.0
01650500,02-27,7.2,10.0,13.0,18.0,30.0,56.0,98.0
01650500,02-28,8.3,10.0,13.0,18.0,29.0,55.0,162.0
01650500,02-29,7.2,9.2,14.0,19.0,23.0,41.0,156.0
01650500,03-01,9.3,10.0,13.0,20.0,28.0,53.0,114.0
01650500,03-02,8.8,11.0,14.0,19.0,28.0,48.0,106.0
01650500,03-03,8.1,10.0,14.0,18.0,32.0,75.0,102.0
01650500,03-04,9.0,10.0,14.0,19.0,28.0,51.0,97.0
01650500,03-05,8.9,11.0,14.0,20.0,29.0,60.0,148.0
01650500,03-06,8.6,12.0,15.0,20.0,30.0,79.0,203.0
