SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01413500,01-01,69.0,91.0,141.0,260.0,491,778.0,1630.0
01413500,01-02,75.0,100.0,140.0,246.0,481,764.0,1430.0
01413500,01-03,78.0,92.0,136.0,250.0,473,746.0,1050.0
01413500,01-04,76.0,88.0,138.0,269.0,480,671.0,943.0
01413500,01-05,68.0,82.0,134.0,270.0,425,665.0,950.0
01413500,01-06,68.0,90.0,130.0,270.0,430,655.0,1490.0
01413500,01-07,68.0,84.0,130.0,275.0,409,757.0,1270.0
01413500,01-08,68.0,80.0,128.0,248.0,351,760.0,1220.0
01413500,01-09,62.0,88.0,132.0,247.0,323,686.0,1110.0
01413500,01-10,68.0,96.0,141.0,235.0,348,780.0,1220.0
01413500,01-11,66.0,94.0,140.0,230.0,350,686.0,1220.0
01413500,01-12,66.0,90.0,137.0,237.0,346,798.0,1060.0
01413500,01-13,64.0,88.0,138.0,211.0,384,841.0,1050.0
01413500,01-14,60.0,85.0,126.0,205.0,404,767.0,984.0
01413500,01-15,65.0,88.0,125.0,205.0,461,699.0,867.0
01413500,01-16,68.0,90.0,120.0,185.0,365,638.0,743.0
01413500,01-17,68.0,86.0,116.0,185.0,350,526.0,625.0
01413500,01-18,72.0,80.0,116.0,184.0,324,536.0,653.0
01413500,01-19,67.0,84.0,119.0,200.0,333,490.0,601.0
01413500,01-20,67.0,88.0,114.0,180.0,334,500.0,731.0
01413500,01-21,65.0,86.0,110.0,192.0,321,598.0,990.0
01413500,01-22,61.0,84.0,110.0,190.0,329,505.0,919.0
01413500,01-23,59.0,82.0,110.0,191.0,318,686.0,960.0
01413500,01-24,59.0,82.0,111.0,182.0,373,714.0,1330.0
01413500,01-25,60.0,78.0,110.0,200.0,429,1150.0,2330.0
01413500,01-26,59.0,76.0,105.0,210.0,493,1160.0,1630.0
01413500,01-27,69.0,80.0,105.0,200.0,445,1050.0,1380.0
01413500,01-28,67.0,75.0,101.0,190.0,394,906.0,1140.0
01413500,01-29,65.0,74.0,100.0,180.0,392,728.0,1020.0
01413500,01-30,58.0,75.0,110.0,180.0,414,620.0,818.0
01413500,01-31,61.0,75.0,110.0,190.0,432,665.0,807.0
01413500,02-01,59.0,81.0,106.0,196.0,410,608.0,717.0
01413500,02-02,61.0,76.0,107.0,185.0,408,628.0,1080.0
01413500,02-03,59.0,74.0,109.0,197.0,398,794.0,1310.0
01413500,02-04,58.0,69.0,100.0,209.0,404,610.0,935.0
01413500,02-05,58.0,70.0,103.0,229.0,368,575.0,784.0
01413500,02-06,57.0,72.0,107.0,206.0,330,520.0,667.0
01413500,02-07,56.0,81.0,110.0,196.0,323,625.0,926.0
01413500,02-08,56.0,80.0,108.0,186.0,302,519.0,796.0
01413500,02-09,56.0,74.0,108.0,184.0,330,500.0,631.0
01413500,02-10,55.0,71.0,102.0,180.0,310,548.0,778.0
01413500,02-11,53.0,75.0,109.0,199.0,338,613.0,792.0
01413500,02-12,59.0,70.0,100.0,189.0,320,569.0,702.0
01413500,02-13,57.0,72.0,110.0,180.0,298,525.0,830.0
01413500,02-14,68.0,81.0,112.0,197.0,356,639.0,766.0
01413500,02-15,65.0,83.0,115.0,197.0,361,558.0,798.0
01413500,02-16,64.0,82.0,120.0,200.0,352,622.0,1080.0
01413500,02-17,63.0,78.0,123.0,195.0,342,663.0,1130.0
01413500,02-18,65.0,77.0,118.0,190.0,306,755.0,1180.0
01413500,02-19,64.0,80.0,114.0,190.0,315,718.0,1030.0
01413500,02-20,62.0,84.0,115.0,185.0,341,831.0,1210.0
01413500,02-21,59.0,78.0,120.0,181.0,424,801.0,1010.0
01413500,02-22,57.0,80.0,113.0,200.0,434,921.0,1340.0
01413500,02-23,58.0,80.0,120.0,216.0,526,866.0,1370.0
01413500,02-24,55.0,76.0,120.0,221.0,506,916.0,1330.0
01413500,02-25,57.0,77.0,120.0,222.0,525,998.0,1580.0
01413500,02-26,63.0,75.0,113.0,210.0,440,795.0,1190.0
01413500,02-27,61.0,80.0,125.0,201.0,467,891.0,1220.0
01413500,02-28,68.0,80.0,129.0,224.0,479,789.0,1050.0
01413500,02-29,55.0,70.0,105.0,221.0,482,698.0,1820.0
01413500,03-01,67.0,79.0,130.0,262.0,453,679.0,945.0
01413500,03-02,66.0,80.0,127.0,245.0,408,717.0,874.0
01413500,03-03,64.0,80.0,129.0,253.0,431,648.0,822.0
01413500,03-04,66.0,92.0,130.0,263.0,510,695.0,947.0
01413500,03-05,71.0,90.0,144.0,267.0,491,831.0,1300.0
01413500,03-06,72.0,90.0,139.0,260.0,545,1320.0,1770.0
01413500,03-07,72.0,91.0,138.0,291.0,518,1380.0,1600.0
01413500,03-08,72.0,100.0,158.0,281.0,588,1210.0,1710.0
01413500,03-09,72.0,96.0,163.0,270.0,593,1340.0,2340.0
01413500,03-10,75.0,98.0,167.0,272.0,670,1180.0,1740.0
01413500,03-11,88.0,111.0,180.0,316.0,683,1170.0,1630.0
01413500,03-12,87.0,111.0,186.0,341.0,698,1170.0,1500.0
01413500,03-13,82.0,122.0,199.0,366.0,664,969.0,1240.0
01413500,03-14,97.0,127.0,239.0,400.0,617,929.0,1510.0
01413500,03-15,110.0,151.0,231.0,383.0,626,890.0,2230.0
01413500,03-16,124.0,168.0,227.0,375.0,640,1210.0,2170.0
01413500,03-17,105.0,165.0,264.0,371.0,739,1660.0,2070.0
01413500,03-18,122.0,170.0,245.0,389.0,744,1270.0,1810.0
01413500,03-19,136.0,171.0,241.0,386.0,638,1330.0,1760.0
01413500,03-20,144.0,170.0,246.0,424.0,667,1370.0,1920.0
01413500,03-21,132.0,180.0,252.0,423.0,662,1290.0,2230.0
01413500,03-22,131.0,163.0,250.0,442.0,679,1330.0,2380.0
01413500,03-23,131.0,183.0,253.0,438.0,702,1250.0,2150.0
01413500,03-24,133.0,180.0,250.0,439.0,761,1140.0,1510.0
01413500,03-25,141.0,187.0,261.0,444.0,728,1360.0,1530.0
01413500,03-26,166.0,190.0,297.0,457.0,803,1170.0,1650.0
01413500,03-27,157.0,210.0,311.0,482.0,860,1130.0,1810.0
01413500,03-28,157.0,211.0,325.0,539.0,784,1310.0,1490.0
01413500,03-29,170.0,215.0,337.0,530.0,812,1290.0,2100.0
01413500,03-30,191.0,231.0,360.0,524.0,923,1720.0,2250.0
01413500,03-31,208.0,232.0,348.0,501.0,906,1660.0,4000.0
01413500,04-01,202.0,239.0,342.0,527.0,999,1660.0,2530.0
01413500,04-02,227.0,251.0,382.0,605.0,1080,1680.0,1980.0
01413500,04-03,203.0,247.0,384.0,664.0,1130,1540.0,1930.0
01413500,04-04,217.0,244.0,379.0,669.0,1070,1760.0,1920.0
01413500,04-05,217.0,251.0,377.0,670.0,1150,1970.0,3220.0
01413500,04-06,207.0,255.0,391.0,692.0,1120,1950.0,2810.0
01413500,04-07,230.0,275.0,379.0,663.0,1070,1710.0,2540.0
01413500,04-08,232.0,276.0,375.0,628.0,999,1570.0,2060.0
01413500,04-09,234.0,265.0,364.0,623.0,908,1420.0,1760.0
01413500,04-10,239.0,269.0,374.0,590.0,879,1340.0,2020.0
