SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
02034000,01-01,143.0,180,354,550,1060,1880,2800.0
02034000,01-02,142.0,184,358,592,1210,1940,2550.0
02034000,01-03,146.0,219,394,597,1150,1970,2710.0
02034000,01-04,136.0,200,370,624,1060,1720,2610.0
02034000,01-05,126.0,194,346,599,953,1580,1900.0
02034000,01-06,141.0,185,338,554,892,1480,2200.0
02034000,01-07,146.0,208,342,574,912,1290,1740.0
02034000,01-08,138.0,204,347,561,1020,1600,1950.0
02034000,01-09,146.0,181,330,550,1060,1570,2760.0
02034000,01-10,143.0,186,325,550,943,1710,3240.0
02034000,01-11,150.0,195,332,552,985,1690,2390.0
02034000,01-12,155.0,210,323,547,958,1770,2540.0
02034000,01-13,146.0,188,352,591,921,1800,2180.0
02034000,01-14,160.0,192,362,584,1040,1710,2130.0
02034000,01-15,159.0,198,399,602,966,1470,2950.0
02034000,01-16,156.0,223,366,610,985,1710,2170.0
02034000,01-17,161.0,220,340,593,920,1290,1970.0
02034000,01-18,158.0,194,363,590,878,1400,2040.0
02034000,01-19,172.0,244,353,614,865,1300,2310.0
02034000,01-20,175.0,236,357,587,893,1490,3430.0
02034000,01-21,174.0,230,335,558,920,2290,2890.0
02034000,01-22,160.0,220,370,606,974,2000,3140.0
02034000,01-23,158.0,223,400,612,1010,1830,2730.0
02034000,01-24,154.0,231,403,659,1060,2390,3270.0
02034000,01-25,149.0,219,403,641,1240,2870,3700.0
02034000,01-26,145.0,203,380,624,1140,2090,3260.0
02034000,01-27,142.0,212,367,620,1100,1740,2680.0
02034000,01-28,158.0,211,385,640,1160,2200,3270.0
02034000,01-29,160.0,205,371,600,951,2130,3250.0
02034000,01-30,168.0,215,340,581,874,1750,2230.0
02034000,01-31,170.0,199,359,593,942,1460,1800.0
02034000,02-01,164.0,236,369,620,992,1480,1910.0
02034000,02-02,167.0,226,386,625,941,1690,2390.0
02034000,02-03,164.0,282,394,658,1070,2190,3110.0
02034000,02-04,185.0,267,376,661,1020,2510,4690.0
02034000,02-05,181.0,264,421,642,1120,2070,2720.0
02034000,02-06,179.0,256,400,698,1080,1970,2280.0
02034000,02-07,170.0,240,415,710,1110,2160,3350.0
02034000,02-08,173.0,268,404,715,1130,1800,2790.0
02034000,02-09,188.0,260,403,680,1000,1600,2010.0
02034000,02-10,192.0,247,404,651,935,1500,1900.0
02034000,02-11,207.0,264,400,601,1020,1540,1960.0
02034000,02-12,198.0,268,403,650,1090,1560,2270.0
02034000,02-13,224.0,279,442,700,1090,1870,2650.0
02034000,02-14,237.0,279,433,713,1150,1710,6470.0
02034000,02-15,220.0,313,452,722,1080,1860,3000.0
02034000,02-16,227.0,284,447,747,1040,2040,3810.0
02034000,02-17,225.0,308,448,723,1220,1710,3060.0
02034000,02-18,256.0,323,459,684,1190,2130,2820.0
02034000,02-19,252.0,309,468,681,1110,1930,3680.0
02034000,02-20,239.0,298,478,700,1100,2410,2960.0
02034000,02-21,204.0,285,452,705,1220,1960,2270.0
02034000,02-22,237.0,291,475,724,1180,1810,3360.0
02034000,02-23,227.0,282,463,769,1210,2230,3600.0
02034000,02-24,254.0,290,510,700,1130,2490,4310.0
02034000,02-25,249.0,286,527,670,1150,2160,3440.0
02034000,02-26,257.0,300,491,656,1290,2200,3300.0
02034000,02-27,241.0,306,467,661,1400,2040,2910.0
02034000,02-28,217.0,283,477,667,1160,1770,2750.0
02034000,02-29,220.0,269,516,648,1110,1820,2060.0
02034000,03-01,217.0,330,462,673,1050,2310,3690.0
02034000,03-02,223.0,313,440,698,1030,1960,3010.0
02034000,03-03,279.0,326,464,671,1110,2080,2210.0
02034000,03-04,256.0,305,495,682,1220,1760,3400.0
02034000,03-05,265.0,315,494,694,1170,2040,3240.0
02034000,03-06,260.0,352,509,772,1340,2230,3880.0
02034000,03-07,275.0,350,526,795,1330,2420,4190.0
02034000,03-08,266.0,349,514,786,1330,2010,2750.0
02034000,03-09,266.0,345,508,854,1280,1840,2710.0
02034000,03-10,248.0,337,506,809,1160,1800,2610.0
02034000,03-11,254.0,347,482,782,1090,1590,2990.0
02034000,03-12,243.0,374,504,756,1100,2360,3650.0
02034000,03-13,226.0,375,551,730,1090,2700,6340.0
02034000,03-14,256.0,379,540,747,1350,2720,3900.0
02034000,03-15,325.0,375,535,783,1240,2670,4000.0
02034000,03-16,296.0,357,526,779,1180,2120,2850.0
02034000,03-17,272.0,347,548,791,1150,2390,2990.0
02034000,03-18,285.0,343,525,802,1170,1810,3010.0
02034000,03-19,295.0,361,523,761,1170,2220,3430.0
02034000,03-20,303.0,356,538,800,1280,2930,3890.0
02034000,03-21,321.0,407,525,780,1320,2460,4460.0
02034000,03-22,324.0,388,506,794,1440,2880,3750.0
02034000,03-23,320.0,369,532,785,1300,2540,2910.0
02034000,03-24,287.0,352,568,859,1230,2220,3030.0
02034000,03-25,301.0,334,553,805,1220,2200,3430.0
02034000,03-26,273.0,326,539,740,1230,2060,2670.0
02034000,03-27,257.0,380,518,754,1280,1780,2940.0
02034000,03-28,307.0,382,513,720,1120,2340,3760.0
02034000,03-29,279.0,376,503,752,1110,2290,3730.0
02034000,03-30,276.0,370,469,734,1240,2390,3760.0
02034000,03-31,301.0,392,478,710,1280,2040,2870.0
02034000,04-01,285.0,383,476,668,1290,2370,2990.0
02034000,04-02,297.0,402,496,668,1300,2370,2980.0
02034000,04-03,280.0,370,456,671,1290,2080,3130.0
02034000,04-04,302.0,356,455,738,1210,1990,2260.0
02034000,04-05,284.0,362,458,746,1200,1970,3160.0
02034000,04-06,272.0,351,458,712,1120,1990,4470.0
02034000,04-07,273.0,349,489,706,1280,2110,2710.0
02034000,04-08,302.0,342,476,743,1210,1880,2740.0
02034000,04-09,296.0,342,480,680,1200,1860,3260.0
02034000,04-10,284.0,337,481,629,1100,2570,3160.0
02034000,04-11,289.0,318,455,618,988,2200,2700.0
02034000,04-12,265.0,317,440,676,1010,1810,2410.0
02034000,04-13,270.0,322,425,685,1170,2220,3720.0
02034000,04-14,277.0,312,440,659,1260,1930,2990.0
02034000,04-15,290.0,316,402,679,1390,2210,3240.0
02034000,04-16,286.0,336,444,728,1350,2340,4260.0
02034000,04-17,270.0,323,430,674,1200,2350,2740.0
02034000,04-18,262.0,332,428,692,1060,1620,2070.0
02034000,04-19,254.0,305,452,626,966,1410,1720.0
02034000,04-20,253.0,303,428,665,965,1450,3350.0
02034000,04-21,269.0,294,428,630,885,1270,2280.0
02034000,04-22,276.0,327,416,642,941,1580,1950.0
02034000,04-23,281.0,315,428,614,936,1460,1790.0
02034000,04-24,275.0,327,452,619,865,1340,1860.0
02034000,04-25,290.0,322,444,627,890,1400,3020.0
02034000,04-26,276.0,346,458,637,930,1950,2510.0
02034000,04-27,282.0,334,452,624,1030,1590,3180.0
02034000,04-28,276.0,331,452,648,985,1870,2370.0
02034000,04-29,266.0,298,432,604,940,1540,2770.0
02034000,04-30,264.0,305,431,606,860,1400,2220.0
02034000,05-01,258.0,278,422,595,930,1430,1760.0
02034000,05-02,249.0,273,422,592,913,1340,2460.0
02034000,05-03,237.0,294,407,580,899,1550,2350.0
02034000,05-04,244.0,302,398,568,900,1730,1990.0
02034000,05-05,228.0,295,391,585,1020,1680,2450.0
02034000,05-06,241.0,281,376,594,970,1570,2600.0
02034000,05-07,225.0,267,364,600,938,2100,2770.0
02034000,05-08,211.0,275,362,574,859,1810,2760.0
02034000,05-09,224.0,273,349,569,865,1660,3070.0
02034000,05-10,213.0,256,362,531,900,1670,2180.0
02034000,05-11,212.0,251,323,511,800,1520,2070.0
02034000,05-12,220.0,244,320,489,822,1260,1920.0
02034000,05-13,218.0,239,315,497,900,1520,2530.0
02034000,05-14,216.0,246,334,525,919,1650,2610.0
02034000,05-15,206.0,245,362,562,935,1360,2030.0
02034000,05-16,197.0,257,354,560,963,1560,2480.0
02034000,05-17,191.0,262,338,560,885,1890,2630.0
02034000,05-18,191.0,249,325,580,983,1540,2780.0
02034000,05-19,233.0,258,380,654,889,2050,2790.0
02034000,05-20,233.0,259,380,625,861,1660,2620.0
02034000,05-21,220.0,265,392,576,880,1730,2330.0
02034000,05-22,194.0,261,356,532,806,1390,1840.0
02034000,05-23,193.0,262,358,529,786,1280,1940.0
02034000,05-24,191.0,239,343,537,760,1070,1310.0
02034000,05-25,184.0,229,327,502,729,977,1600.0
02034000,05-26,199.0,225,333,474,681,1050,1730.0
02034000,05-27,184.0,226,336,471,721,985,1850.0
02034000,05-28,178.0,214,318,476,730,1600,2370.0
02034000,05-29,161.0,238,324,437,780,1530,2470.0
02034000,05-30,181.0,232,320,442,707,1330,2000.0
02034000,05-31,186.0,218,298,442,790,1360,1880.0
02034000,06-01,176.0,206,278,403,717,1360,1960.0
02034000,06-02,161.0,202,262,485,698,1200,2080.0
02034000,06-03,189.0,210,301,464,702,1190,2390.0
02034000,06-04,162.0,198,297,452,674,1350,2730.0
02034000,06-05,154.0,193,279,449,745,1540,3230.0
02034000,06-06,155.0,180,281,445,651,1280,2000.0
02034000,06-07,140.0,174,273,428,609,1250,1990.0
02034000,06-08,129.0,181,265,414,624,1160,2700.0
02034000,06-09,120.0,171,250,383,565,994,1600.0
02034000,06-10,116.0,164,229,384,536,1090,1970.0
02034000,06-11,113.0,159,222,376,545,1350,1660.0
02034000,06-12,106.0,139,236,353,580,1240,1900.0
02034000,06-13,103.0,139,227,344,542,1180,1810.0
02034000,06-14,95.0,142,222,354,624,1310,1770.0
02034000,06-15,94.0,166,204,353,569,1020,1710.0
02034000,06-16,86.0,157,209,320,532,911,1600.0
02034000,06-17,115.0,141,201,336,565,1140,1480.0
02034000,06-18,96.0,133,216,326,568,1130,1810.0
02034000,06-19,102.0,133,206,357,600,1040,1820.0
02034000,06-20,107.0,140,198,333,565,822,1170.0
02034000,06-21,101.0,114,176,304,565,1000,1550.0
02034000,06-22,90.0,118,178,314,566,919,2050.0
02034000,06-23,81.0,117,177,335,581,915,1910.0
02034000,06-24,82.0,130,192,302,501,867,1320.0
