SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
02011800,01-01,81.0,113,156,170,442,958,1540.0
02011800,01-02,81.0,113,156,170,510,938,2020.0
02011800,01-03,81.0,113,154,170,466,1140,1730.0
02011800,01-04,81.0,105,154,170,459,1140,2140.0
02011800,01-05,91.0,106,153,170,393,1130,1900.0
02011800,01-06,102.0,113,153,170,393,1110,1280.0
02011800,01-07,104.0,113,153,172,329,792,1020.0
02011800,01-08,103.0,113,153,172,292,738,1030.0
02011800,01-09,103.0,113,152,170,292,611,1120.0
02011800,01-10,104.0,114,151,170,292,608,1070.0
02011800,01-11,104.0,114,151,170,364,627,737.0
02011800,01-12,105.0,114,151,167,336,597,618.0
02011800,01-13,103.0,114,152,172,315,597,782.0
02011800,01-14,101.0,114,151,172,296,711,1070.0
02011800,01-15,101.0,114,152,172,296,812,1420.0
02011800,01-16,101.0,114,154,172,286,805,1420.0
02011800,01-17,101.0,114,154,182,290,988,1100.0
02011800,01-18,101.0,114,153,174,343,969,1140.0
02011800,01-19,101.0,114,153,184,329,964,1190.0
02011800,01-20,101.0,114,153,198,516,1210,1730.0
02011800,01-21,101.0,114,156,212,505,1600,3030.0
02011800,01-22,82.0,108,154,186,400,1340,3160.0
02011800,01-23,81.0,102,153,187,400,1130,1500.0
02011800,01-24,80.0,102,159,187,400,962,1160.0
02011800,01-25,80.0,109,159,204,447,962,2030.0
02011800,01-26,80.0,109,153,205,543,1070,2650.0
02011800,01-27,82.0,107,154,209,484,1110,1680.0
02011800,01-28,82.0,112,155,210,458,1160,1880.0
02011800,01-29,82.0,112,155,211,412,1190,2860.0
02011800,01-30,82.0,104,155,211,456,1070,2770.0
02011800,01-31,83.0,113,157,211,493,1080,1550.0
02011800,02-01,103.0,115,160,211,438,1060,1220.0
02011800,02-02,104.0,114,162,231,413,1040,1090.0
02011800,02-03,105.0,114,161,217,413,977,1450.0
02011800,02-04,105.0,115,159,211,413,1060,1840.0
02011800,02-05,106.0,115,158,211,489,1330,2630.0
02011800,02-06,103.0,117,158,191,451,1290,2740.0
02011800,02-07,104.0,117,158,210,492,1840,2310.0
02011800,02-08,104.0,122,167,292,487,1450,2490.0
02011800,02-09,103.0,122,169,295,494,1120,2270.0
02011800,02-10,102.0,122,170,290,513,1080,2370.0
02011800,02-11,110.0,139,170,260,513,1620,2260.0
02011800,02-12,103.0,122,171,314,513,1590,2240.0
02011800,02-13,104.0,122,170,298,545,1190,1930.0
02011800,02-14,105.0,122,170,298,513,1280,2000.0
02011800,02-15,105.0,122,168,278,561,1250,1770.0
02011800,02-16,107.0,122,168,298,612,976,1180.0
02011800,02-17,107.0,122,165,295,612,1220,2040.0
02011800,02-18,108.0,122,170,359,715,1900,2900.0
02011800,02-19,108.0,122,170,376,693,1920,3750.0
02011800,02-20,108.0,122,170,389,813,1630,3840.0
02011800,02-21,108.0,122,170,361,799,1170,2710.0
02011800,02-22,108.0,123,170,437,882,1360,2070.0
02011800,02-23,107.0,122,170,449,852,1130,1590.0
02011800,02-24,104.0,122,167,538,907,1300,2100.0
02011800,02-25,102.0,122,172,502,826,2430,3540.0
02011800,02-26,102.0,122,171,468,814,2340,4610.0
02011800,02-27,102.0,122,234,507,797,2360,4010.0
02011800,02-28,102.0,122,217,440,819,1630,2490.0
02011800,02-29,,110,266,423,924,1620,
02011800,03-01,103.0,122,184,374,814,1160,1700.0
