SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01556000,01-01,62.0,84.0,160.0,337,499.0,1190.0,1600.0
01556000,01-02,66.0,89.0,155.0,325,512.0,1170.0,1450.0
01556000,01-03,73.0,92.0,174.0,309,587.0,1010.0,1530.0
01556000,01-04,73.0,100.0,181.0,311,596.0,943.0,1520.0
01556000,01-05,70.0,98.0,167.0,296,629.0,1050.0,1530.0
01556000,01-06,77.0,109.0,166.0,289,521.0,989.0,1300.0
01556000,01-07,86.0,111.0,165.0,289,510.0,884.0,1550.0
01556000,01-08,70.0,109.0,163.0,282,485.0,877.0,1330.0
01556000,01-09,75.0,99.0,160.0,282,453.0,906.0,1470.0
01556000,01-10,85.0,101.0,154.0,283,493.0,842.0,1420.0
01556000,01-11,80.0,100.0,152.0,288,479.0,866.0,1240.0
01556000,01-12,78.0,108.0,156.0,285,543.0,818.0,1180.0
01556000,01-13,79.0,100.0,149.0,271,540.0,984.0,1160.0
01556000,01-14,79.0,97.0,156.0,254,512.0,717.0,1030.0
01556000,01-15,85.0,100.0,160.0,263,502.0,807.0,1050.0
01556000,01-16,92.0,102.0,159.0,254,474.0,1000.0,1150.0
01556000,01-17,92.0,100.0,151.0,223,435.0,842.0,1020.0
01556000,01-18,83.0,105.0,150.0,240,418.0,796.0,1330.0
01556000,01-19,80.0,101.0,162.0,242,438.0,961.0,1270.0
01556000,01-20,88.0,96.0,154.0,255,525.0,1070.0,1500.0
01556000,01-21,90.0,103.0,151.0,251,425.0,989.0,1510.0
01556000,01-22,91.0,101.0,160.0,288,497.0,1120.0,1490.0
01556000,01-23,88.0,114.0,173.0,302,496.0,855.0,1510.0
01556000,01-24,86.0,110.0,166.0,293,564.0,1180.0,1520.0
01556000,01-25,85.0,121.0,171.0,302,559.0,1160.0,2170.0
01556000,01-26,88.0,128.0,174.0,302,573.0,1100.0,1780.0
01556000,01-27,100.0,131.0,174.0,295,555.0,996.0,1690.0
01556000,01-28,94.0,126.0,175.0,264,511.0,982.0,1680.0
01556000,01-29,98.0,118.0,172.0,263,533.0,1070.0,1360.0
01556000,01-30,103.0,120.0,175.0,283,593.0,946.0,1100.0
01556000,01-31,105.0,116.0,173.0,277,587.0,841.0,1130.0
01556000,02-01,99.0,115.0,179.0,282,520.0,738.0,963.0
01556000,02-02,103.0,121.0,185.0,288,505.0,811.0,1160.0
01556000,02-03,98.0,119.0,186.0,314,520.0,986.0,1540.0
01556000,02-04,94.0,115.0,171.0,300,547.0,875.0,1540.0
01556000,02-05,100.0,113.0,176.0,288,581.0,1120.0,1410.0
01556000,02-06,99.0,113.0,173.0,297,553.0,919.0,1190.0
01556000,02-07,98.0,115.0,170.0,305,564.0,940.0,1430.0
01556000,02-08,92.0,115.0,169.0,325,535.0,849.0,1020.0
01556000,02-09,89.0,106.0,162.0,301,553.0,813.0,1140.0
01556000,02-10,96.0,114.0,155.0,294,614.0,941.0,1280.0
01556000,02-11,101.0,126.0,169.0,292,566.0,941.0,1210.0
01556000,02-12,99.0,126.0,180.0,330,583.0,963.0,1060.0
01556000,02-13,100.0,125.0,188.0,322,591.0,1030.0,1650.0
01556000,02-14,106.0,130.0,216.0,371,608.0,1050.0,2330.0
01556000,02-15,105.0,128.0,227.0,376,648.0,1220.0,1730.0
01556000,02-16,109.0,147.0,227.0,352,671.0,1090.0,1590.0
01556000,02-17,120.0,150.0,218.0,351,674.0,1040.0,1450.0
01556000,02-18,121.0,157.0,225.0,371,641.0,1000.0,1480.0
01556000,02-19,123.0,153.0,227.0,390,620.0,1190.0,1570.0
01556000,02-20,128.0,152.0,231.0,394,640.0,1470.0,1910.0
01556000,02-21,136.0,160.0,222.0,388,710.0,1390.0,2350.0
01556000,02-22,132.0,182.0,259.0,383,762.0,1660.0,2240.0
01556000,02-23,143.0,180.0,253.0,433,715.0,1720.0,1950.0
01556000,02-24,143.0,164.0,264.0,444,898.0,1490.0,2220.0
01556000,02-25,135.0,171.0,280.0,427,954.0,1690.0,2660.0
01556000,02-26,135.0,171.0,272.0,475,920.0,1720.0,3060.0
01556000,02-27,139.0,161.0,269.0,448,868.0,1520.0,2300.0
01556000,02-28,135.0,169.0,279.0,467,911.0,1610.0,2600.0
01556000,02-29,121.0,183.0,260.0,453,802.0,2100.0,2120.0
01556000,03-01,133.0,162.0,292.0,526,937.0,1940.0,2540.0
01556000,03-02,133.0,169.0,291.0,463,932.0,1720.0,2410.0
01556000,03-03,164.0,210.0,290.0,457,830.0,1430.0,2180.0
01556000,03-04,190.0,235.0,321.0,582,933.0,1720.0,2540.0
01556000,03-05,200.0,256.0,350.0,549,1140.0,2360.0,2890.0
01556000,03-06,194.0,252.0,370.0,571,1170.0,2520.0,3450.0
01556000,03-07,215.0,237.0,361.0,579,1090.0,1900.0,2520.0
01556000,03-08,201.0,260.0,374.0,612,1020.0,1560.0,2290.0
01556000,03-09,188.0,271.0,373.0,595,962.0,1730.0,2170.0
01556000,03-10,204.0,293.0,338.0,542,912.0,1540.0,1970.0
01556000,03-11,214.0,288.0,357.0,600,953.0,1540.0,2490.0
01556000,03-12,229.0,278.0,402.0,611,960.0,2310.0,3440.0
01556000,03-13,221.0,290.0,422.0,693,1080.0,1740.0,3110.0
01556000,03-14,222.0,303.0,408.0,660,1170.0,1810.0,2490.0
01556000,03-15,233.0,318.0,380.0,683,1080.0,2010.0,2740.0
01556000,03-16,225.0,283.0,377.0,668,1010.0,2120.0,2340.0
01556000,03-17,231.0,294.0,399.0,663,949.0,1590.0,2310.0
01556000,03-18,257.0,313.0,401.0,638,933.0,1440.0,2220.0
01556000,03-19,259.0,302.0,413.0,681,967.0,1660.0,2080.0
01556000,03-20,279.0,295.0,454.0,669,1010.0,1580.0,2260.0
01556000,03-21,279.0,304.0,425.0,682,1020.0,1800.0,2660.0
01556000,03-22,268.0,283.0,433.0,679,1070.0,1890.0,2350.0
01556000,03-23,258.0,287.0,425.0,703,1150.0,1500.0,1830.0
01556000,03-24,253.0,283.0,424.0,748,1170.0,1740.0,2530.0
01556000,03-25,246.0,287.0,418.0,703,1040.0,1640.0,1940.0
01556000,03-26,236.0,282.0,415.0,679,988.0,1420.0,1750.0
01556000,03-27,253.0,328.0,420.0,658,970.0,1540.0,2000.0
01556000,03-28,247.0,316.0,447.0,632,946.0,1390.0,2120.0
01556000,03-29,240.0,281.0,426.0,605,938.0,2050.0,3390.0
01556000,03-30,235.0,297.0,413.0,599,901.0,1890.0,2880.0
01556000,03-31,230.0,285.0,417.0,578,1080.0,1980.0,3160.0
01556000,04-01,227.0,284.0,413.0,601,1040.0,1820.0,3440.0
01556000,04-02,221.0,272.0,434.0,618,1150.0,2010.0,2370.0
01556000,04-03,230.0,272.0,415.0,641,1120.0,1640.0,2420.0
01556000,04-04,235.0,260.0,412.0,629,1150.0,1880.0,2740.0
01556000,04-05,222.0,299.0,422.0,626,1170.0,2090.0,2620.0
01556000,04-06,216.0,265.0,410.0,666,1100.0,1770.0,2600.0
01556000,04-07,213.0,278.0,401.0,654,1040.0,1700.0,2300.0
01556000,04-08,227.0,280.0,400.0,613,1040.0,1510.0,1860.0
01556000,04-09,242.0,281.0,390.0,641,921.0,1460.0,1890.0
01556000,04-10,233.0,265.0,396.0,641,920.0,1450.0,1870.0
01556000,04-11,232.0,247.0,366.0,601,869.0,1300.0,1490.0
01556000,04-12,230.0,258.0,375.0,600,895.0,1270.0,1560.0
01556000,04-13,227.0,277.0,376.0,571,894.0,1300.0,2280.0
01556000,04-14,222.0,269.0,365.0,569,811.0,1480.0,2120.0
01556000,04-15,234.0,260.0,351.0,562,816.0,1650.0,2470.0
01556000,04-16,244.0,259.0,358.0,575,858.0,1670.0,3020.0
01556000,04-17,230.0,266.0,361.0,528,861.0,1580.0,2890.0
01556000,04-18,230.0,254.0,337.0,509,765.0,1420.0,2000.0
01556000,04-19,223.0,246.0,333.0,486,764.0,1190.0,1560.0
01556000,04-20,213.0,238.0,339.0,481,719.0,1160.0,1620.0
01556000,04-21,199.0,229.0,305.0,484,663.0,1500.0,1850.0
01556000,04-22,214.0,226.0,306.0,480,762.0,1360.0,2150.0
01556000,04-23,208.0,226.0,312.0,478,784.0,1250.0,1490.0
01556000,04-24,216.0,236.0,316.0,469,698.0,1060.0,1400.0
01556000,04-25,204.0,235.0,309.0,464,676.0,1070.0,1340.0
01556000,04-26,197.0,237.0,310.0,446,691.0,1200.0,1820.0
01556000,04-27,192.0,207.0,288.0,450,681.0,1260.0,1530.0
01556000,04-28,189.0,221.0,277.0,425,718.0,1220.0,2060.0
01556000,04-29,197.0,215.0,270.0,413,727.0,1150.0,1570.0
01556000,04-30,189.0,213.0,280.0,425,702.0,1120.0,1580.0
01556000,05-01,191.0,208.0,287.0,409,661.0,1010.0,1470.0
01556000,05-02,190.0,212.0,281.0,427,623.0,927.0,1300.0
01556000,05-03,179.0,212.0,265.0,419,653.0,1010.0,1740.0
01556000,05-04,182.0,205.0,270.0,443,703.0,1080.0,1360.0
01556000,05-05,181.0,205.0,280.0,423,676.0,936.0,1520.0
01556000,05-06,171.0,201.0,274.0,419,630.0,1040.0,1730.0
01556000,05-07,161.0,195.0,270.0,396,606.0,1120.0,1970.0
01556000,05-08,161.0,190.0,284.0,414,641.0,1270.0,2210.0
01556000,05-09,166.0,189.0,290.0,415,638.0,1130.0,1980.0
01556000,05-10,172.0,190.0,274.0,390,659.0,1350.0,2040.0
01556000,05-11,165.0,188.0,271.0,373,589.0,1360.0,1970.0
01556000,05-12,161.0,177.0,256.0,413,770.0,1560.0,2500.0
01556000,05-13,151.0,178.0,257.0,405,778.0,1440.0,1930.0
01556000,05-14,148.0,185.0,256.0,406,717.0,1460.0,2000.0
01556000,05-15,143.0,177.0,252.0,413,698.0,1170.0,1410.0
01556000,05-16,152.0,174.0,237.0,417,623.0,1120.0,1520.0
01556000,05-17,146.0,171.0,232.0,383,603.0,998.0,1470.0
01556000,05-18,146.0,169.0,234.0,399,629.0,1230.0,1860.0
