SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01447800,01-01,168.0,232.0,344,521,827,1240,2010.0
01447800,01-02,176.0,267.0,365,493,996,1500,1960.0
01447800,01-03,203.0,255.0,326,511,974,1490,1820.0
01447800,01-04,198.0,238.0,325,477,827,1160,1550.0
01447800,01-05,203.0,233.0,317,455,786,1410,1860.0
01447800,01-06,196.0,207.0,322,473,884,1330,1920.0
01447800,01-07,173.0,202.0,322,474,899,1410,1870.0
01447800,01-08,191.0,212.0,322,409,823,1400,1630.0
01447800,01-09,202.0,249.0,318,438,693,1200,1930.0
01447800,01-10,221.0,235.0,309,427,695,1400,1870.0
01447800,01-11,232.0,262.0,311,427,774,1570,2410.0
01447800,01-12,240.0,270.0,323,484,755,1510,2160.0
01447800,01-13,239.0,256.0,321,497,913,1330,2030.0
01447800,01-14,190.0,251.0,320,460,919,1420,1870.0
01447800,01-15,178.0,239.0,299,432,843,1370,1680.0
01447800,01-16,175.0,222.0,305,446,838,1420,1830.0
01447800,01-17,171.0,219.0,289,426,699,1190,1570.0
01447800,01-18,164.0,211.0,294,455,686,953,1210.0
01447800,01-19,179.0,228.0,285,473,624,988,1530.0
01447800,01-20,193.0,220.0,286,474,671,1270,2130.0
01447800,01-21,194.0,211.0,275,492,638,1350,1910.0
01447800,01-22,206.0,221.0,281,462,610,1150,1400.0
01447800,01-23,210.0,234.0,281,430,632,1330,1990.0
01447800,01-24,213.0,239.0,307,460,703,1320,2060.0
01447800,01-25,213.0,240.0,310,475,869,1210,2050.0
01447800,01-26,206.0,236.0,287,473,990,1790,4000.0
01447800,01-27,206.0,240.0,289,437,1080,1850,3300.0
01447800,01-28,199.0,210.0,282,478,1110,2180,4060.0
01447800,01-29,176.0,214.0,280,440,1020,2090,3110.0
01447800,01-30,180.0,216.0,268,457,890,1790,2770.0
01447800,01-31,183.0,206.0,268,461,821,1490,2600.0
01447800,02-01,185.0,215.0,278,461,809,1240,1880.0
01447800,02-02,184.0,205.0,318,458,717,1110,1400.0
01447800,02-03,192.0,200.0,309,457,696,1170,1380.0
01447800,02-04,178.0,203.0,332,467,766,1250,1560.0
01447800,02-05,180.0,214.0,296,488,830,1200,1810.0
01447800,02-06,187.0,226.0,295,541,736,1230,1480.0
01447800,02-07,171.0,212.0,300,515,771,1190,2170.0
01447800,02-08,186.0,218.0,290,459,667,1240,1880.0
01447800,02-09,177.0,204.0,275,460,616,1200,1430.0
01447800,02-10,163.0,186.0,257,450,600,1130,1340.0
01447800,02-11,167.0,190.0,263,424,547,981,1220.0
01447800,02-12,172.0,220.0,280,400,575,990,1700.0
01447800,02-13,200.0,220.0,273,445,648,1130,1720.0
01447800,02-14,204.0,227.0,296,443,712,1200,1450.0
01447800,02-15,203.0,236.0,307,444,722,1040,1420.0
01447800,02-16,204.0,247.0,317,449,702,1020,1920.0
01447800,02-17,202.0,248.0,341,422,681,1140,2190.0
01447800,02-18,190.0,248.0,300,410,642,1280,1840.0
01447800,02-19,182.0,208.0,302,427,662,1230,1840.0
01447800,02-20,190.0,213.0,320,459,636,1670,2000.0
01447800,02-21,203.0,222.0,333,453,634,1480,2350.0
01447800,02-22,204.0,229.0,334,483,740,1480,2250.0
01447800,02-23,207.0,237.0,327,451,721,1500,2190.0
01447800,02-24,200.0,232.0,322,424,888,1550,1710.0
01447800,02-25,189.0,222.0,330,427,1100,1580,1820.0
01447800,02-26,188.0,237.0,345,466,894,1760,2530.0
01447800,02-27,186.0,243.0,337,506,977,1670,2500.0
01447800,02-28,192.0,217.0,326,542,962,1810,3260.0
01447800,02-29,,219.0,347,599,1260,2030,
01447800,03-01,184.0,226.0,331,582,883,1910,2970.0
01447800,03-02,168.0,228.0,345,580,893,1840,2090.0
01447800,03-03,179.0,246.0,355,555,908,1480,1880.0
01447800,03-04,175.0,252.0,357,555,880,1440,1740.0
01447800,03-05,177.0,243.0,361,567,877,1610,1840.0
01447800,03-06,172.0,249.0,380,578,934,1660,2380.0
01447800,03-07,172.0,218.0,355,550,956,1510,2730.0
01447800,03-08,190.0,245.0,357,620,967,1820,2850.0
01447800,03-09,172.0,253.0,372,620,1030,1740,3490.0
01447800,03-10,173.0,232.0,355,558,924,1870,2770.0
01447800,03-11,207.0,251.0,354,535,973,1880,2280.0
01447800,03-12,229.0,265.0,383,620,1110,1960,3670.0
01447800,03-13,208.0,265.0,396,616,1040,1700,2700.0
01447800,03-14,209.0,308.0,428,624,1120,1580,2010.0
01447800,03-15,257.0,361.0,480,753,1140,1490,2310.0
01447800,03-16,266.0,361.0,466,717,1070,2420,3490.0
01447800,03-17,251.0,279.0,430,760,1120,1950,3120.0
01447800,03-18,245.0,301.0,447,763,1330,1910,2680.0
01447800,03-19,256.0,326.0,470,765,1270,1750,2410.0
01447800,03-20,297.0,327.0,465,802,1240,1740,2230.0
01447800,03-21,326.0,380.0,499,748,1190,1850,2390.0
01447800,03-22,308.0,365.0,479,864,1370,1750,2380.0
01447800,03-23,281.0,305.0,469,838,1520,1870,3160.0
01447800,03-24,254.0,289.0,481,872,1470,2080,2670.0
01447800,03-25,254.0,281.0,502,838,1500,1870,2640.0
01447800,03-26,256.0,269.0,500,830,1270,2460,3090.0
01447800,03-27,256.0,277.0,504,847,1290,1840,2250.0
01447800,03-28,246.0,292.0,484,847,1240,1910,2400.0
01447800,03-29,262.0,320.0,482,856,1390,2300,2720.0
01447800,03-30,244.0,322.0,535,887,1180,3030,4800.0
01447800,03-31,234.0,360.0,544,837,1180,2950,4460.0
01447800,04-01,237.0,347.0,566,830,1310,2030,2750.0
01447800,04-02,194.0,363.0,593,931,1560,2060,2230.0
01447800,04-03,231.0,320.0,571,906,1650,2330,2890.0
01447800,04-04,230.0,319.0,617,1040,1760,2590,3890.0
01447800,04-05,243.0,355.0,558,958,1620,2860,4920.0
01447800,04-06,239.0,298.0,505,879,1620,2760,3440.0
01447800,04-07,249.0,353.0,550,859,1470,3100,5790.0
01447800,04-08,281.0,394.0,553,841,1510,2620,6540.0
01447800,04-09,271.0,380.0,554,800,1400,2830,5700.0
01447800,04-10,282.0,394.0,529,805,1210,3250,3770.0
01447800,04-11,273.0,400.0,501,739,1230,2480,3590.0
01447800,04-12,287.0,406.0,471,725,1240,2150,3290.0
01447800,04-13,273.0,397.0,480,727,1160,1550,2250.0
01447800,04-14,265.0,387.0,477,760,1080,1750,2290.0
01447800,04-15,275.0,357.0,474,691,1150,1660,2850.0
01447800,04-16,207.0,311.0,408,663,1080,1920,2430.0
01447800,04-17,267.0,318.0,415,730,1100,2410,3310.0
01447800,04-18,231.0,294.0,402,674,1120,2740,3630.0
01447800,04-19,187.0,303.0,406,691,1160,2240,3630.0
01447800,04-20,186.0,285.0,410,666,1200,2220,3180.0
01447800,04-21,189.0,277.0,397,623,1150,1910,2740.0
01447800,04-22,194.0,269.0,398,619,1200,1810,1950.0
01447800,04-23,199.0,276.0,417,645,1050,1510,1990.0
01447800,04-24,211.0,294.0,385,562,1040,1350,1800.0
01447800,04-25,232.0,295.0,430,549,1080,1690,2040.0
01447800,04-26,230.0,286.0,468,599,1050,1510,2240.0
01447800,04-27,228.0,282.0,446,648,1070,1500,2290.0
01447800,04-28,245.0,272.0,411,666,992,1720,2240.0
01447800,04-29,248.0,288.0,424,647,931,1790,2110.0
01447800,04-30,240.0,252.0,406,596,928,1440,1740.0
01447800,05-01,190.0,263.0,410,591,895,1570,1790.0
01447800,05-02,202.0,324.0,435,625,952,1350,2590.0
01447800,05-03,301.0,338.0,460,687,926,1380,2060.0
01447800,05-04,304.0,336.0,443,692,979,1620,2180.0
01447800,05-05,298.0,348.0,427,661,971,1630,2070.0
01447800,05-06,273.0,352.0,428,641,882,1400,1940.0
01447800,05-07,302.0,320.0,398,648,918,1370,1640.0
01447800,05-08,200.0,275.0,392,625,1000,1250,2310.0
01447800,05-09,206.0,267.0,410,655,916,1380,2360.0
01447800,05-10,250.0,305.0,457,633,892,1460,1980.0
01447800,05-11,231.0,282.0,455,594,1040,1390,2480.0
01447800,05-12,240.0,314.0,455,614,898,1770,2590.0
01447800,05-13,222.0,295.0,451,635,1020,2060,2440.0
01447800,05-14,224.0,259.0,431,604,1020,2120,2480.0
01447800,05-15,201.0,274.0,383,571,1060,1730,2470.0
01447800,05-16,207.0,271.0,411,563,1030,1690,2190.0
01447800,05-17,191.0,288.0,369,586,1020,2000,2720.0
01447800,05-18,190.0,272.0,385,590,963,1760,3500.0
01447800,05-19,211.0,291.0,380,610,936,1820,2250.0
01447800,05-20,228.0,270.0,390,666,927,1720,2330.0
01447800,05-21,232.0,263.0,410,620,979,1400,2240.0
01447800,05-22,224.0,250.0,342,544,850,1290,1730.0
01447800,05-23,212.0,276.0,355,526,862,1290,1700.0
01447800,05-24,206.0,253.0,376,491,792,1350,1710.0
01447800,05-25,188.0,207.0,337,496,823,1320,1730.0
01447800,05-26,197.0,228.0,324,510,735,1050,1310.0
01447800,05-27,199.0,247.0,361,502,629,957,1380.0
01447800,05-28,178.0,240.0,353,479,683,1060,1410.0
01447800,05-29,176.0,201.0,315,454,773,1260,1500.0
01447800,05-30,167.0,198.0,278,417,729,1580,2170.0
01447800,05-31,159.0,190.0,268,410,743,1230,2290.0
01447800,06-01,160.0,193.0,269,395,754,1440,2480.0
01447800,06-02,152.0,182.0,249,422,782,1700,3240.0
01447800,06-03,153.0,172.0,253,418,705,1650,2530.0
01447800,06-04,138.0,176.0,247,430,713,1210,2090.0
01447800,06-05,150.0,177.0,245,428,682,1060,1830.0
01447800,06-06,142.0,164.0,249,413,655,973,1360.0
01447800,06-07,153.0,194.0,246,378,641,1400,1590.0
01447800,06-08,153.0,187.0,246,450,712,1230,1780.0
01447800,06-09,142.0,191.0,247,409,734,1190,1550.0
01447800,06-10,117.0,163.0,243,451,772,931,1610.0
01447800,06-11,105.0,157.0,266,477,711,997,1660.0
01447800,06-12,112.0,180.0,245,440,701,1130,1530.0
01447800,06-13,161.0,180.0,240,388,699,1040,1340.0
01447800,06-14,137.0,165.0,223,347,691,1110,1600.0
01447800,06-15,137.0,154.0,216,346,733,1230,1450.0
01447800,06-16,135.0,147.0,218,345,640,1290,1460.0
01447800,06-17,135.0,145.0,203,352,566,1180,1360.0
01447800,06-18,136.0,145.0,204,348,705,1110,1460.0
01447800,06-19,128.0,138.0,204,384,744,1310,1480.0
01447800,06-20,129.0,143.0,200,360,804,1290,1500.0
01447800,06-21,113.0,144.0,226,384,620,984,1160.0
01447800,06-22,125.0,150.0,211,376,606,986,1260.0
01447800,06-23,122.0,138.0,182,341,689,1030,1450.0
01447800,06-24,124.0,136.0,202,383,601,993,1350.0
01447800,06-25,116.0,153.0,208,361,528,991,1330.0
01447800,06-26,117.0,139.0,223,347,507,952,1950.0
01447800,06-27,100.0,114.0,200,323,545,842,1590.0
01447800,06-28,79.0,118.0,201,328,564,1020,1340.0
01447800,06-29,81.0,117.0,187,277,478,1290,1480.0
01447800,06-30,103.0,139.0,172,238,527,1020,1410.0
01447800,07-01,90.0,127.0,180,298,546,838,2160.0
01447800,07-02,86.0,120.0,186,295,505,1330,2500.0
01447800,07-03,74.0,113.0,211,295,421,1400,2220.0
01447800,07-04,75.0,113.0,201,295,431,1180,2350.0
01447800,07-05,74.0,124.0,192,296,459,911,2180.0
01447800,07-06,78.0,118.0,194,293,469,724,2030.0
01447800,07-07,78.0,120.0,193,268,480,686,2100.0
01447800,07-08,76.0,112.0,173,257,447,707,1890.0
01447800,07-09,68.0,103.0,150,224,507,828,1500.0
01447800,07-10,69.0,100.0,151,249,462,785,1560.0
01447800,07-11,75.0,107.0,159,243,445,808,1410.0
01447800,07-12,68.0,103.0,166,230,389,648,1300.0
01447800,07-13,68.0,101.0,168,260,367,754,1170.0
01447800,07-14,76.0,103.0,165,251,364,722,1060.0
01447800,07-15,67.0,91.0,160,226,377,902,1550.0
01447800,07-16,66.0,73.0,149,257,349,893,2150.0
01447800,07-17,67.0,92.0,162,265,390,734,1850.0
01447800,07-18,69.0,108.0,162,261,385,648,1040.0
01447800,07-19,67.0,97.0,162,283,376,608,868.0
01447800,07-20,67.0,79.0,151,269,435,573,739.0
01447800,07-21,66.0,82.0,164,287,521,617,712.0
01447800,07-22,66.0,86.0,166,267,434,627,792.0
01447800,07-23,71.0,89.0,145,282,438,678,886.0
01447800,07-24,67.0,90.0,156,273,423,689,1050.0
01447800,07-25,66.0,87.0,145,252,456,612,939.0
01447800,07-26,67.0,90.0,132,232,492,601,970.0
01447800,07-27,68.0,88.0,130,211,435,578,961.0
01447800,07-28,58.0,89.0,142,237,447,708,1110.0
01447800,07-29,59.0,93.0,130,248,390,696,914.0
01447800,07-30,59.0,89.0,162,256,458,584,913.0
01447800,07-31,57.0,89.0,134,256,364,631,793.0
01447800,08-01,56.0,78.0,131,255,339,559,769.0
01447800,08-02,59.0,82.0,131,264,339,1010,1440.0
01447800,08-03,55.0,70.0,127,263,498,1150,1770.0
01447800,08-04,55.0,66.0,144,240,454,804,1440.0
01447800,08-05,55.0,75.0,145,240,521,802,1290.0
01447800,08-06,55.0,75.0,121,239,489,834,2140.0
01447800,08-07,54.0,71.0,119,260,399,647,1720.0
01447800,08-08,53.0,71.0,119,237,421,719,918.0
01447800,08-09,54.0,78.0,117,245,391,686,947.0
01447800,08-10,54.0,76.0,114,257,416,750,1110.0
01447800,08-11,55.0,69.0,127,244,376,784,1250.0
01447800,08-12,67.0,73.0,169,242,355,761,1080.0
01447800,08-13,65.0,76.0,135,252,438,623,1210.0
01447800,08-14,60.0,72.0,138,265,405,634,1540.0
01447800,08-15,60.0,77.0,137,253,414,670,1620.0
01447800,08-16,58.0,84.0,121,214,464,669,1030.0
01447800,08-17,64.0,90.0,110,203,441,653,982.0
01447800,08-18,71.0,90.0,115,248,424,577,760.0
01447800,08-19,75.0,89.0,127,243,419,566,776.0
01447800,08-20,75.0,89.0,123,215,423,596,785.0
01447800,08-21,73.0,87.0,119,209,352,586,755.0
01447800,08-22,58.0,70.0,105,190,324,595,882.0
01447800,08-23,58.0,75.0,102,182,358,729,1010.0
01447800,08-24,71.0,75.0,108,229,337,745,1030.0
01447800,08-25,69.0,77.0,118,232,306,633,1150.0
01447800,08-26,69.0,76.0,106,207,296,682,1440.0
01447800,08-27,58.0,67.0,94,182,288,655,1870.0
01447800,08-28,56.0,60.0,97,181,296,656,903.0
01447800,08-29,58.0,69.0,110,195,339,761,1050.0
01447800,08-30,60.0,70.0,123,201,391,784,1950.0
01447800,08-31,65.0,71.0,126,203,448,967,2480.0
01447800,09-01,66.0,72.0,125,199,422,753,1680.0
01447800,09-02,61.0,71.0,120,188,313,901,994.0
01447800,09-03,56.0,71.0,122,182,306,750,1280.0
01447800,09-04,52.0,71.0,107,175,309,653,1640.0
01447800,09-05,59.0,68.0,104,168,296,935,1570.0
01447800,09-06,61.0,68.0,93,163,377,845,1740.0
01447800,09-07,64.0,70.0,90,159,302,866,1640.0
01447800,09-08,55.0,66.0,93,161,298,591,1260.0
01447800,09-09,53.0,66.0,88,172,311,898,1400.0
01447800,09-10,51.0,58.0,88,183,293,844,1930.0
01447800,09-11,49.0,56.0,81,180,327,933,2290.0
01447800,09-12,45.0,56.0,74,169,301,1010,1830.0
01447800,09-13,48.0,56.0,87,176,376,749,1090.0
01447800,09-14,45.0,55.0,83,194,436,862,1160.0
01447800,09-15,48.0,55.0,94,224,557,904,1050.0
01447800,09-16,52.0,64.0,110,192,452,1040,2670.0
01447800,09-17,52.0,64.0,99,223,449,1000,1510.0
01447800,09-18,52.0,66.0,93,213,410,893,1320.0
01447800,09-19,52.0,64.0,123,230,528,1060,1470.0
01447800,09-20,46.0,60.0,136,214,479,1290,1940.0
01447800,09-21,51.0,61.0,136,186,482,1360,2790.0
01447800,09-22,51.0,62.0,129,178,482,1200,2230.0
01447800,09-23,52.0,75.0,138,183,479,1020,1720.0
01447800,09-24,54.0,71.0,131,193,536,1170,1880.0
01447800,09-25,58.0,83.0,130,203,393,1230,2080.0
01447800,09-26,59.0,80.0,123,197,470,1410,1960.0
01447800,09-27,52.0,76.0,123,171,484,1970,2670.0
01447800,09-28,63.0,69.0,135,211,554,1870,2660.0
01447800,09-29,67.0,83.0,130,250,566,1730,2640.0
01447800,09-30,69.0,85.0,128,275,511,1260,2940.0
01447800,10-01,75.0,94.0,131,251,504,1010,1660.0
01447800,10-02,73.0,87.0,128,252,535,1150,1750.0
01447800,10-03,73.0,92.0,121,250,520,1140,2380.0
01447800,10-04,67.0,84.0,110,275,488,1170,2160.0
01447800,10-05,67.0,73.0,115,264,619,1600,2820.0
01447800,10-06,67.0,76.0,115,219,463,1550,2720.0
01447800,10-07,68.0,76.0,124,228,549,1980,2660.0
01447800,10-08,68.0,79.0,124,252,608,1580,2510.0
01447800,10-09,66.0,75.0,116,228,566,1350,1920.0
01447800,10-10,62.0,83.0,128,266,699,1250,1770.0
01447800,10-11,62.0,79.0,152,301,914,1380,2040.0
01447800,10-12,62.0,79.0,144,403,760,1610,1990.0
01447800,10-13,60.0,67.0,140,362,709,1070,2220.0
01447800,10-14,63.0,78.0,162,333,564,1120,1560.0
01447800,10-15,67.0,84.0,145,332,606,1200,1580.0
01447800,10-16,73.0,98.0,165,311,571,1220,1380.0
01447800,10-17,72.0,109.0,151,357,719,1190,1350.0
01447800,10-18,69.0,95.0,140,290,619,1010,1850.0
01447800,10-19,61.0,82.0,155,307,636,1130,1690.0
01447800,10-20,60.0,82.0,163,324,721,1210,2210.0
01447800,10-21,62.0,88.0,146,337,624,1300,2390.0
01447800,10-22,66.0,97.0,159,285,670,1500,2560.0
01447800,10-23,66.0,90.0,163,318,662,1760,2670.0
01447800,10-24,66.0,84.0,168,361,695,1570,2190.0
