SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01638500,01-01,1940.0,2320.0,3470,7330,12000,21500,34000
01638500,01-02,1910.0,2440.0,3910,6810,12400,25400,35500
01638500,01-03,1780.0,2510.0,4460,7330,13800,25800,31900
01638500,01-04,1720.0,2440.0,4580,7710,14300,25700,34300
01638500,01-05,1800.0,2520.0,4420,8320,14500,25400,33000
01638500,01-06,1840.0,2600.0,4680,8680,14200,23400,30900
01638500,01-07,1920.0,2580.0,4840,8680,14600,20500,24700
01638500,01-08,1920.0,2570.0,4630,7790,13500,19100,24200
01638500,01-09,1740.0,2600.0,4630,7710,13300,19500,30200
01638500,01-10,1900.0,2520.0,4480,7450,12000,21300,25300
01638500,01-11,2060.0,2510.0,4140,7460,11700,18000,26000
01638500,01-12,2200.0,2560.0,4300,7750,11500,21600,32300
01638500,01-13,2330.0,2570.0,4270,7460,13500,20800,28400
01638500,01-14,2390.0,2510.0,4590,7400,13300,22900,33200
01638500,01-15,2250.0,2560.0,4480,7750,12400,20200,29900
01638500,01-16,2290.0,2610.0,4500,7780,12000,21800,23800
01638500,01-17,2230.0,2540.0,4310,7580,12300,22700,31900
01638500,01-18,2000.0,2560.0,4420,7010,11600,22000,25600
01638500,01-19,2090.0,2600.0,4250,6990,11000,20800,28700
01638500,01-20,2010.0,2880.0,4650,7000,10300,22800,30800
01638500,01-21,1760.0,2540.0,4600,7320,12000,24600,36400
01638500,01-22,2140.0,2630.0,4620,7260,12900,25800,36200
01638500,01-23,2170.0,2810.0,4600,7490,14100,27200,33600
01638500,01-24,2040.0,2920.0,5140,8120,14200,23900,31300
01638500,01-25,2040.0,3020.0,5070,8660,16300,27900,40200
01638500,01-26,2250.0,3080.0,4980,8300,16000,28400,47100
01638500,01-27,2490.0,3240.0,5210,8430,15700,31200,39200
01638500,01-28,2430.0,3160.0,5170,8540,15700,29200,37500
01638500,01-29,2360.0,3040.0,5140,8710,15300,25200,42900
01638500,01-30,2440.0,2990.0,4800,8310,14900,26600,38400
01638500,01-31,2470.0,3040.0,4870,8380,14500,27100,32600
01638500,02-01,2470.0,3000.0,5070,8550,13200,23700,31500
01638500,02-02,2490.0,2910.0,5210,8550,13500,23000,28500
01638500,02-03,2470.0,3230.0,5410,8180,14700,22600,36200
01638500,02-04,2550.0,3160.0,5560,7980,13800,23500,37500
01638500,02-05,2610.0,3260.0,5810,8520,14100,25800,42300
01638500,02-06,2400.0,3190.0,5510,8840,15300,26700,39900
01638500,02-07,2480.0,3220.0,5490,8770,16000,28100,37600
01638500,02-08,2600.0,3290.0,5760,8950,16100,27200,37500
01638500,02-09,2600.0,3480.0,5470,8980,16500,25500,33900
01638500,02-10,2600.0,3290.0,5390,8740,15800,23900,28900
01638500,02-11,2410.0,3530.0,5610,8840,14300,21200,28300
01638500,02-12,2730.0,3930.0,5690,9010,14200,23000,33200
01638500,02-13,2960.0,4100.0,5640,9170,13800,25700,33000
01638500,02-14,2960.0,4010.0,5880,9250,16400,27000,39300
01638500,02-15,2900.0,4000.0,5750,8990,17600,27200,35300
01638500,02-16,3080.0,4140.0,6030,9670,17500,28900,38400
01638500,02-17,3360.0,4160.0,6130,10000,16200,28000,32800
01638500,02-18,3180.0,4210.0,5920,10200,16700,28500,41000
01638500,02-19,2990.0,4150.0,6330,11000,18200,26000,39300
