SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01439500,01-01,54.0,93.0,130.0,200,356.0,512.0,638.0
01439500,01-02,54.0,92.0,130.0,200,343.0,525.0,749.0
01439500,01-03,54.0,83.0,130.0,200,366.0,526.0,703.0
01439500,01-04,60.0,86.0,130.0,220,375.0,523.0,649.0
01439500,01-05,63.0,74.0,120.0,220,334.0,542.0,644.0
01439500,01-06,68.0,86.0,125.0,210,349.0,549.0,607.0
01439500,01-07,71.0,88.0,125.0,199,360.0,525.0,725.0
01439500,01-08,68.0,82.0,120.0,184,329.0,580.0,721.0
01439500,01-09,69.0,85.0,121.0,188,335.0,547.0,710.0
01439500,01-10,72.0,83.0,124.0,182,353.0,581.0,697.0
01439500,01-11,70.0,90.0,120.0,189,362.0,582.0,646.0
01439500,01-12,70.0,88.0,125.0,200,320.0,526.0,651.0
01439500,01-13,68.0,80.0,119.0,198,324.0,523.0,790.0
01439500,01-14,63.0,80.0,115.0,190,316.0,503.0,736.0
01439500,01-15,60.0,80.0,122.0,187,336.0,505.0,659.0
01439500,01-16,60.0,80.0,118.0,180,327.0,491.0,595.0
01439500,01-17,58.0,80.0,117.0,180,314.0,425.0,532.0
01439500,01-18,60.0,84.0,120.0,181,286.0,407.0,652.0
01439500,01-19,60.0,84.0,120.0,190,293.0,433.0,574.0
01439500,01-20,60.0,87.0,120.0,191,295.0,452.0,568.0
01439500,01-21,66.0,92.0,127.0,191,292.0,452.0,606.0
01439500,01-22,64.0,87.0,140.0,197,299.0,462.0,605.0
01439500,01-23,62.0,88.0,140.0,204,310.0,481.0,704.0
01439500,01-24,61.0,84.0,132.0,214,340.0,592.0,857.0
01439500,01-25,64.0,84.0,127.0,213,348.0,617.0,1170.0
01439500,01-26,60.0,86.0,127.0,210,360.0,818.0,1100.0
01439500,01-27,60.0,89.0,129.0,196,390.0,686.0,1080.0
01439500,01-28,66.0,86.0,129.0,201,361.0,647.0,1030.0
01439500,01-29,64.0,83.0,128.0,190,363.0,594.0,867.0
01439500,01-30,58.0,83.0,130.0,189,352.0,554.0,693.0
01439500,01-31,56.0,82.0,125.0,201,337.0,541.0,626.0
01439500,02-01,56.0,79.0,126.0,193,329.0,526.0,630.0
01439500,02-02,57.0,76.0,130.0,201,348.0,481.0,616.0
01439500,02-03,56.0,70.0,127.0,214,354.0,542.0,681.0
01439500,02-04,54.0,70.0,133.0,220,342.0,560.0,832.0
01439500,02-05,55.0,70.0,119.0,200,319.0,476.0,925.0
01439500,02-06,56.0,70.0,124.0,200,307.0,427.0,779.0
01439500,02-07,55.0,79.0,127.0,205,320.0,527.0,659.0
01439500,02-08,56.0,78.0,116.0,198,313.0,494.0,578.0
