SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01500000,01-01,42.0,57.0,89,170,307,468.0,607.0
01500000,01-02,42.0,59.0,88,162,257,403.0,539.0
01500000,01-03,45.0,60.0,84,135,247,371.0,561.0
01500000,01-04,47.0,55.0,83,166,297,391.0,608.0
01500000,01-05,44.0,52.0,77,157,278,523.0,783.0
01500000,01-06,39.0,49.0,72,148,274,428.0,511.0
01500000,01-07,42.0,48.0,76,151,235,356.0,698.0
01500000,01-08,42.0,48.0,68,123,210,301.0,608.0
01500000,01-09,42.0,48.0,75,122,206,353.0,404.0
01500000,01-10,34.0,45.0,75,123,210,319.0,490.0
01500000,01-11,34.0,48.0,66,130,225,481.0,842.0
01500000,01-12,34.0,47.0,90,136,222,556.0,919.0
01500000,01-13,33.0,46.0,88,139,263,565.0,718.0
01500000,01-14,33.0,47.0,74,123,236,489.0,579.0
01500000,01-15,33.0,48.0,71,127,275,401.0,553.0
01500000,01-16,39.0,48.0,75,121,269,434.0,576.0
01500000,01-17,42.0,48.0,70,109,205,357.0,415.0
01500000,01-18,41.0,53.0,72,108,203,354.0,459.0
01500000,01-19,33.0,41.0,68,104,211,288.0,424.0
01500000,01-20,28.0,40.0,68,114,200,326.0,511.0
01500000,01-21,33.0,42.0,69,112,204,386.0,594.0
01500000,01-22,32.0,42.0,63,100,194,349.0,649.0
01500000,01-23,32.0,40.0,65,102,188,396.0,652.0
01500000,01-24,33.0,42.0,62,119,249,542.0,673.0
01500000,01-25,42.0,51.0,71,145,277,544.0,1130.0
01500000,01-26,30.0,50.0,73,133,319,885.0,1350.0
01500000,01-27,36.0,49.0,73,120,320,926.0,1100.0
01500000,01-28,38.0,47.0,69,119,284,803.0,1010.0
01500000,01-29,38.0,43.0,64,120,241,536.0,1160.0
01500000,01-30,33.0,41.0,72,119,244,521.0,779.0
01500000,01-31,31.0,40.0,72,126,237,419.0,642.0
01500000,02-01,29.0,40.0,68,120,234,445.0,516.0
01500000,02-02,31.0,48.0,66,123,268,506.0,727.0
01500000,02-03,29.0,43.0,65,111,269,614.0,789.0
01500000,02-04,28.0,45.0,67,121,223,420.0,499.0
01500000,02-05,28.0,43.0,64,117,205,367.0,571.0
01500000,02-06,28.0,35.0,63,132,185,306.0,428.0
01500000,02-07,32.0,44.0,67,112,191,346.0,452.0
01500000,02-08,35.0,47.0,67,113,193,369.0,663.0
01500000,02-09,35.0,47.0,69,112,164,365.0,860.0
01500000,02-10,34.0,41.0,73,108,187,386.0,833.0
01500000,02-11,34.0,47.0,70,110,232,496.0,664.0
01500000,02-12,28.0,43.0,62,101,214,488.0,643.0
01500000,02-13,34.0,41.0,65,102,227,429.0,607.0
01500000,02-14,34.0,51.0,64,90,200,379.0,767.0
01500000,02-15,35.0,45.0,70,107,195,413.0,495.0
01500000,02-16,35.0,47.0,69,115,203,430.0,736.0
01500000,02-17,33.0,40.0,69,114,214,375.0,744.0
01500000,02-18,31.0,41.0,65,101,198,366.0,870.0
01500000,02-19,31.0,43.0,62,126,229,431.0,954.0
01500000,02-20,36.0,45.0,62,118,227,679.0,852.0
01500000,02-21,34.0,45.0,63,126,310,508.0,1040.0
01500000,02-22,42.0,46.0,66,131,266,639.0,798.0
01500000,02-23,42.0,49.0,64,143,255,560.0,877.0
01500000,02-24,46.0,52.0,70,142,318,649.0,767.0
01500000,02-25,38.0,52.0,69,134,329,602.0,838.0
