SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01379000,01-01,10.0,14.0,33.0,75.0,150.0,254.0,372.0
01379000,01-02,9.2,12.0,35.0,76.0,157.0,254.0,358.0
01379000,01-03,10.0,15.0,38.0,86.0,169.0,270.0,353.0
01379000,01-04,9.6,16.0,41.0,82.0,160.0,301.0,357.0
01379000,01-05,12.0,17.0,42.0,85.0,153.0,230.0,325.0
01379000,01-06,11.0,18.0,39.0,89.0,150.0,223.0,276.0
01379000,01-07,12.0,22.0,37.0,81.0,152.0,253.0,375.0
01379000,01-08,12.0,17.0,36.0,75.0,134.0,261.0,462.0
01379000,01-09,11.0,17.0,35.0,67.0,124.0,279.0,413.0
01379000,01-10,12.0,17.0,33.0,65.0,127.0,322.0,461.0
01379000,01-11,12.0,17.0,35.0,70.0,126.0,280.0,379.0
01379000,01-12,13.0,19.0,35.0,65.0,128.0,242.0,317.0
01379000,01-13,12.0,17.0,34.0,68.0,129.0,240.0,282.0
01379000,01-14,11.0,19.0,35.0,62.0,123.0,203.0,259.0
01379000,01-15,12.0,18.0,35.0,67.0,118.0,210.0,274.0
01379000,01-16,12.0,17.0,33.0,62.0,130.0,200.0,281.0
01379000,01-17,12.0,17.0,33.0,68.0,123.0,210.0,253.0
01379000,01-18,12.0,17.0,36.0,67.0,123.0,192.0,259.0
01379000,01-19,13.0,19.0,34.0,66.0,133.0,195.0,276.0
01379000,01-20,13.0,18.0,35.0,71.0,127.0,187.0,297.0
01379000,01-21,15.0,20.0,34.0,70.0,125.0,209.0,274.0
01379000,01-22,14.0,21.0,35.0,68.0,125.0,217.0,294.0
01379000,01-23,14.0,22.0,37.0,68.0,136.0,247.0,348.0
01379000,01-24,15.0,20.0,37.0,66.0,142.0,287.0,345.0
01379000,01-25,14.0,18.0,40.0,66.0,166.0,336.0,469.0
01379000,01-26,13.0,18.0,38.0,61.0,179.0,419.0,534.0
01379000,01-27,12.0,19.0,40.0,63.0,213.0,415.0,490.0
01379000,01-28,11.0,17.0,36.0,56.0,228.0,330.0,518.0
01379000,01-29,12.0,17.0,35.0,51.0,187.0,350.0,483.0
01379000,01-30,10.0,16.0,36.0,55.0,148.0,282.0,496.0
01379000,01-31,8.2,16.0,35.0,60.0,130.0,232.0,373.0
01379000,02-01,8.4,18.0,33.0,59.0,135.0,228.0,272.0
01379000,02-02,13.0,19.0,37.0,60.0,127.0,203.0,264.0
01379000,02-03,12.0,18.0,38.0,58.0,137.0,230.0,317.0
01379000,02-04,11.0,18.0,36.0,70.0,125.0,245.0,337.0
01379000,02-05,12.0,21.0,35.0,66.0,126.0,227.0,426.0
01379000,02-06,12.0,21.0,34.0,73.0,125.0,214.0,334.0
01379000,02-07,13.0,22.0,35.0,78.0,151.0,247.0,307.0
01379000,02-08,16.0,23.0,36.0,81.0,155.0,277.0,364.0
01379000,02-09,16.0,22.0,33.0,83.0,132.0,267.0,349.0
01379000,02-10,18.0,21.0,36.0,74.0,147.0,237.0,305.0
01379000,02-11,18.0,22.0,37.0,70.0,145.0,208.0,263.0
01379000,02-12,21.0,26.0,36.0,67.0,133.0,196.0,265.0
01379000,02-13,20.0,26.0,40.0,73.0,123.0,213.0,249.0
01379000,02-14,21.0,25.0,41.0,80.0,125.0,193.0,396.0
01379000,02-15,19.0,27.0,44.0,85.0,137.0,250.0,460.0
01379000,02-16,20.0,28.0,51.0,85.0,144.0,313.0,432.0
01379000,02-17,22.0,29.0,53.0,82.0,157.0,262.0,377.0
01379000,02-18,23.0,27.0,53.0,88.0,161.0,286.0,350.0
01379000,02-19,24.0,27.0,54.0,96.0,171.0,258.0,353.0
01379000,02-20,23.0,28.0,53.0,108.0,167.0,268.0,317.0
01379000,02-21,21.0,29.0,55.0,108.0,160.0,241.0,348.0
01379000,02-22,25.0,33.0,60.0,101.0,178.0,305.0,430.0
01379000,02-23,24.0,33.0,58.0,105.0,190.0,335.0,418.0
01379000,02-24,23.0,33.0,58.0,108.0,210.0,322.0,454.0
01379000,02-25,26.0,36.0,55.0,106.0,217.0,401.0,538.0
01379000,02-26,25.0,40.0,66.0,127.0,203.0,401.0,575.0
01379000,02-27,25.0,38.0,61.0,118.0,211.0,400.0,624.0
01379000,02-28,25.0,35.0,59.0,108.0,200.0,407.0,575.0
01379000,02-29,27.0,39.0,60.0,128.0,180.0,305.0,395.0
01379000,03-01,24.0,40.0,59.0,117.0,182.0,378.0,574.0
01379000,03-02,27.0,37.0,61.0,105.0,173.0,403.0,507.0
01379000,03-03,32.0,44.0,64.0,104.0,179.0,393.0,466.0
01379000,03-04,41.0,49.0,69.0,113.0,207.0,376.0,465.0
01379000,03-05,42.0,55.0,73.0,113.0,251.0,367.0,465.0
01379000,03-06,45.0,54.0,69.0,130.0,248.0,351.0,436.0
01379000,03-07,48.0,55.0,71.0,173.0,252.0,430.0,605.0
01379000,03-08,42.0,56.0,73.0,161.0,228.0,453.0,604.0
01379000,03-09,51.0,55.0,90.0,152.0,236.0,404.0,514.0
01379000,03-10,48.0,55.0,84.0,138.0,239.0,330.0,455.0
01379000,03-11,49.0,56.0,81.0,135.0,226.0,320.0,520.0
01379000,03-12,50.0,56.0,85.0,120.0,194.0,345.0,519.0
01379000,03-13,51.0,56.0,89.0,139.0,208.0,361.0,500.0
01379000,03-14,48.0,57.0,94.0,130.0,234.0,412.0,534.0
01379000,03-15,47.0,59.0,91.0,136.0,247.0,424.0,583.0
01379000,03-16,46.0,53.0,85.0,141.0,228.0,375.0,573.0
01379000,03-17,47.0,57.0,85.0,139.0,238.0,337.0,563.0
01379000,03-18,47.0,57.0,86.0,132.0,213.0,421.0,478.0
01379000,03-19,51.0,58.0,84.0,135.0,200.0,374.0,444.0
01379000,03-20,48.0,59.0,92.0,136.0,235.0,363.0,430.0
01379000,03-21,45.0,58.0,98.0,135.0,225.0,333.0,504.0
01379000,03-22,41.0,63.0,95.0,149.0,235.0,406.0,605.0
01379000,03-23,39.0,58.0,91.0,142.0,234.0,392.0,668.0
01379000,03-24,38.0,57.0,83.0,142.0,253.0,458.0,639.0
01379000,03-25,38.0,58.0,79.0,127.0,234.0,408.0,593.0
01379000,03-26,39.0,61.0,80.0,117.0,200.0,399.0,505.0
01379000,03-27,40.0,64.0,80.0,113.0,191.0,323.0,444.0
01379000,03-28,39.0,58.0,77.0,113.0,205.0,303.0,441.0
01379000,03-29,36.0,58.0,73.0,110.0,196.0,332.0,603.0
01379000,03-30,38.0,55.0,69.0,109.0,179.0,316.0,571.0
01379000,03-31,43.0,53.0,68.0,112.0,199.0,362.0,477.0
01379000,04-01,44.0,54.0,71.0,110.0,211.0,407.0,494.0
01379000,04-02,42.0,55.0,71.0,113.0,236.0,424.0,534.0
01379000,04-03,38.0,56.0,72.0,117.0,239.0,389.0,476.0
01379000,04-04,38.0,49.0,67.0,116.0,234.0,358.0,446.0
01379000,04-05,39.0,46.0,66.0,113.0,207.0,355.0,596.0
01379000,04-06,34.0,47.0,67.0,116.0,197.0,401.0,614.0
01379000,04-07,34.0,47.0,65.0,118.0,210.0,420.0,581.0
01379000,04-08,34.0,46.0,60.0,119.0,206.0,398.0,585.0
01379000,04-09,34.0,45.0,63.0,108.0,224.0,427.0,545.0
01379000,04-10,32.0,41.0,65.0,97.0,198.0,402.0,526.0
01379000,04-11,30.0,38.0,59.0,97.0,177.0,333.0,450.0
01379000,04-12,32.0,39.0,58.0,102.0,184.0,276.0,339.0
01379000,04-13,32.0,37.0,57.0,105.0,198.0,299.0,343.0
01379000,04-14,30.0,35.0,56.0,94.0,173.0,260.0,359.0
01379000,04-15,29.0,35.0,53.0,92.0,175.0,288.0,364.0
01379000,04-16,29.0,42.0,61.0,92.0,191.0,297.0,356.0
01379000,04-17,28.0,40.0,59.0,94.0,184.0,361.0,529.0
01379000,04-18,27.0,37.0,57.0,94.0,168.0,300.0,477.0
01379000,04-19,25.0,34.0,54.0,94.0,154.0,283.0,454.0
01379000,04-20,26.0,32.0,52.0,88.0,158.0,261.0,433.0
01379000,04-21,25.0,30.0,49.0,83.0,142.0,256.0,327.0
01379000,04-22,27.0,31.0,49.0,80.0,140.0,228.0,265.0
01379000,04-23,28.0,34.0,51.0,79.0,145.0,220.0,242.0
01379000,04-24,28.0,37.0,51.0,73.0,141.0,219.0,250.0
01379000,04-25,28.0,39.0,49.0,76.0,134.0,174.0,250.0
