SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01664000,01-01,103.0,147,300,497,927,1880,2370
01664000,01-02,100.0,144,326,572,1070,1650,2160
01664000,01-03,113.0,146,375,566,984,1410,2350
01664000,01-04,111.0,144,396,613,988,1500,1930
01664000,01-05,110.0,146,365,626,968,1610,1750
01664000,01-06,126.0,151,330,573,885,1430,1780
01664000,01-07,131.0,161,357,555,892,1270,1410
01664000,01-08,117.0,165,361,571,876,1500,1760
01664000,01-09,118.0,165,339,542,1020,1600,2320
01664000,01-10,118.0,171,323,518,916,1530,3100
01664000,01-11,151.0,203,342,567,931,1680,2170
01664000,01-12,158.0,203,334,553,980,1600,2210
01664000,01-13,157.0,233,344,580,1080,1520,1830
01664000,01-14,165.0,207,351,588,959,1480,2570
01664000,01-15,166.0,198,368,605,971,1350,2560
01664000,01-16,157.0,193,322,610,950,1410,2330
01664000,01-17,150.0,198,361,592,816,1270,1620
01664000,01-18,145.0,201,349,566,857,1270,1590
01664000,01-19,151.0,212,358,551,805,1240,1780
01664000,01-20,156.0,215,352,552,896,1380,2530
01664000,01-21,146.0,207,360,525,962,1730,2080
01664000,01-22,158.0,211,334,586,953,1970,2230
01664000,01-23,156.0,218,387,606,933,1630,1960
01664000,01-24,142.0,223,410,610,1070,1770,3700
01664000,01-25,124.0,210,370,592,1230,2520,3990
01664000,01-26,151.0,186,366,653,1170,1920,3280
01664000,01-27,157.0,203,349,720,1120,1690,3180
01664000,01-28,154.0,190,350,667,1070,2100,3590
01664000,01-29,147.0,197,348,611,999,2030,2850
01664000,01-30,153.0,210,350,629,930,1630,2020
01664000,01-31,157.0,209,350,659,886,1420,1770
01664000,02-01,154.0,215,366,641,918,1450,1900
01664000,02-02,165.0,232,373,635,1150,1620,2750
01664000,02-03,159.0,235,427,688,1040,1640,3250
01664000,02-04,160.0,253,436,654,1100,1840,3990
01664000,02-05,163.0,263,424,659,1100,1680,2420
01664000,02-06,158.0,268,409,737,1050,2020,2200
01664000,02-07,155.0,249,415,750,1110,2160,2810
01664000,02-08,171.0,231,403,739,1040,1890,2850
01664000,02-09,161.0,228,379,684,984,1410,1900
01664000,02-10,148.0,224,419,672,905,1410,1660
01664000,02-11,179.0,292,432,646,961,1380,1660
01664000,02-12,185.0,304,460,719,916,1400,1950
01664000,02-13,179.0,321,461,682,1080,1550,3050
01664000,02-14,208.0,295,477,688,1140,1770,5100
01664000,02-15,252.0,301,470,715,1070,1540,2440
01664000,02-16,260.0,321,478,702,1020,1510,2130
01664000,02-17,215.0,270,458,758,1110,1640,2140
01664000,02-18,249.0,336,480,768,1060,1610,2970
01664000,02-19,260.0,320,467,737,1060,1760,2370
01664000,02-20,242.0,298,472,747,1140,2070,2700
01664000,02-21,232.0,282,434,779,1150,2010,2380
01664000,02-22,243.0,303,414,714,1250,1930,2760
