SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01397000,01-01,66,85,117,227,341,580,859
01397000,01-02,65,90,124,218,379,573,913
01397000,01-03,70,91,143,209,351,566,987
01397000,01-04,69,93,131,201,347,525,672
01397000,01-05,73,89,130,201,315,511,655
01397000,01-06,69,88,134,208,340,512,855
01397000,01-07,66,88,132,219,348,500,720
01397000,01-08,67,86,129,219,325,575,853
01397000,01-09,69,90,141,213,309,639,868
01397000,01-10,70,85,148,205,308,588,772
01397000,01-11,70,91,157,225,332,493,630
01397000,01-12,72,89,153,210,307,496,645
01397000,01-13,68,89,139,200,301,442,525
01397000,01-14,65,86,139,190,317,442,852
01397000,01-15,66,85,138,209,335,526,1020
01397000,01-16,70,90,130,220,325,464,588
01397000,01-17,69,80,131,194,302,406,503
01397000,01-18,70,80,140,197,308,450,738
01397000,01-19,70,85,145,210,306,491,729
01397000,01-20,72,93,142,223,350,550,733
01397000,01-21,74,95,142,221,298,502,613
01397000,01-22,71,96,143,211,302,470,824
01397000,01-23,78,100,148,218,309,516,757
01397000,01-24,73,103,142,221,332,595,962
01397000,01-25,71,100,136,207,357,755,1410
01397000,01-26,73,94,130,201,336,794,1370
01397000,01-27,73,111,130,200,298,585,1080
01397000,01-28,71,110,134,200,300,833,1070
01397000,01-29,72,102,130,199,317,599,763
01397000,01-30,72,92,134,189,306,515,603
01397000,01-31,74,95,129,200,343,487,556
01397000,02-01,76,86,135,196,307,444,503
01397000,02-02,79,100,140,200,339,450,812
01397000,02-03,79,96,132,205,360,580,978
01397000,02-04,68,95,138,200,353,644,1320
01397000,02-05,64,90,139,201,344,548,693
01397000,02-06,61,98,141,202,323,542,685
01397000,02-07,73,104,144,224,388,553,986
01397000,02-08,77,95,143,225,356,548,874
01397000,02-09,81,100,139,220,312,448,532
01397000,02-10,74,95,149,221,317,477,577
01397000,02-11,80,100,150,230,315,481,955
01397000,02-12,84,105,155,210,306,436,588
01397000,02-13,82,110,152,223,302,444,658
01397000,02-14,85,125,151,231,308,486,801
01397000,02-15,86,123,150,230,322,858,1170
01397000,02-16,84,120,158,224,345,575,740
01397000,02-17,83,124,159,221,353,553,723
01397000,02-18,85,117,160,222,387,575,734
01397000,02-19,78,106,159,227,327,491,760
01397000,02-20,81,110,145,233,355,600,880
01397000,02-21,78,102,147,230,365,607,790
01397000,02-22,82,108,157,250,382,604,1070
01397000,02-23,77,120,159,241,438,579,989
01397000,02-24,73,106,159,259,439,694,919
01397000,02-25,83,108,162,262,410,648,1480
01397000,02-26,75,102,153,235,411,666,1400
01397000,02-27,78,91,141,250,387,630,994
01397000,02-28,73,97,144,259,383,601,942
01397000,02-29,100,128,185,264,364,503,612
01397000,03-01,76,89,175,259,382,570,820
01397000,03-02,82,95,174,259,389,652,831
01397000,03-03,81,102,183,252,429,691,918
01397000,03-04,81,104,197,272,486,722,1090
01397000,03-05,84,120,183,262,477,684,888
01397000,03-06,102,140,193,300,453,708,1030
01397000,03-07,93,137,201,296,431,764,1410
01397000,03-08,96,141,196,290,438,720,1140
01397000,03-09,78,140,196,320,451,621,790
01397000,03-10,82,123,198,285,412,620,1040
01397000,03-11,88,132,203,284,407,654,964
01397000,03-12,81,139,202,285,467,677,1090
01397000,03-13,97,127,205,296,476,783,1040
01397000,03-14,97,128,200,338,519,800,1060
01397000,03-15,81,122,207,337,497,805,1140
01397000,03-16,80,121,202,331,457,890,1060
01397000,03-17,77,125,192,330,531,752,870
01397000,03-18,95,120,202,314,491,652,911
01397000,03-19,79,121,191,309,512,700,926
01397000,03-20,101,124,210,313,504,831,1040
01397000,03-21,86,126,225,321,515,722,1240
01397000,03-22,91,128,217,332,527,957,1220
01397000,03-23,79,120,217,320,571,909,1230
01397000,03-24,91,116,220,326,535,862,988
01397000,03-25,101,115,209,317,496,726,978
01397000,03-26,97,117,217,302,433,640,863
01397000,03-27,95,124,223,299,463,668,977
01397000,03-28,86,120,224,289,454,771,1270
01397000,03-29,79,123,204,283,453,685,1050
01397000,03-30,91,109,199,280,444,689,1230
01397000,03-31,80,117,211,303,474,771,918
01397000,04-01,90,139,212,296,514,928,1050
01397000,04-02,94,136,209,313,503,862,1130
01397000,04-03,77,113,208,330,459,750,1130
01397000,04-04,74,122,203,312,454,868,1310
01397000,04-05,84,111,193,306,499,1010,1680
01397000,04-06,82,118,202,297,560,983,1240
01397000,04-07,74,121,202,285,554,972,1410
01397000,04-08,77,135,200,278,511,804,1010
01397000,04-09,85,133,199,306,487,750,1040
01397000,04-10,78,122,203,284,468,789,958
01397000,04-11,68,111,190,270,431,678,837
01397000,04-12,82,121,189,284,475,658,777
01397000,04-13,80,129,198,286,487,748,890
01397000,04-14,92,116,180,278,440,618,955
01397000,04-15,74,114,189,274,443,744,1030
01397000,04-16,87,124,180,288,429,798,1150
01397000,04-17,88,120,178,281,460,750,1300
01397000,04-18,77,108,174,292,418,653,883
01397000,04-19,76,107,162,271,400,680,947
01397000,04-20,91,110,179,283,401,586,760
01397000,04-21,83,101,167,252,385,526,651
01397000,04-22,72,115,172,255,359,545,718
01397000,04-23,89,109,170,239,393,543,700
01397000,04-24,82,103,159,239,369,484,657
01397000,04-25,79,108,161,249,351,474,689
01397000,04-26,79,103,159,252,345,520,680
01397000,04-27,80,110,169,253,378,590,828
01397000,04-28,92,117,154,246,365,571,934
01397000,04-29,80,100,154,243,361,663,807
01397000,04-30,81,119,151,221,333,474,666
