SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01470500,01-01,208.0,266.0,390,630,1010,1300.0,1820.0
01470500,01-02,220.0,261.0,378,674,995,1650.0,2400.0
01470500,01-03,230.0,270.0,370,600,924,1490.0,2310.0
01470500,01-04,238.0,272.0,364,605,883,1760.0,2340.0
01470500,01-05,240.0,260.0,356,594,873,1750.0,2010.0
01470500,01-06,230.0,240.0,341,565,1020,1640.0,1680.0
01470500,01-07,228.0,240.0,339,560,1000,1390.0,1590.0
01470500,01-08,215.0,247.0,369,547,971,1290.0,2470.0
01470500,01-09,205.0,250.0,356,542,951,1900.0,2410.0
01470500,01-10,190.0,250.0,351,534,1000,1880.0,2500.0
01470500,01-11,220.0,260.0,349,532,900,1750.0,2050.0
01470500,01-12,240.0,260.0,356,580,910,1420.0,1950.0
01470500,01-13,230.0,270.0,361,540,900,1300.0,1850.0
01470500,01-14,220.0,270.0,388,532,867,1240.0,1890.0
01470500,01-15,220.0,270.0,360,624,838,1480.0,1610.0
01470500,01-16,210.0,260.0,348,601,898,1350.0,1620.0
01470500,01-17,202.0,230.0,350,558,815,1210.0,1440.0
01470500,01-18,200.0,250.0,340,531,808,1390.0,1660.0
01470500,01-19,190.0,245.0,340,512,723,1420.0,1680.0
01470500,01-20,212.0,287.0,320,550,900,1500.0,2140.0
01470500,01-21,225.0,279.0,350,550,869,1400.0,2100.0
01470500,01-22,200.0,269.0,360,580,951,1400.0,3100.0
01470500,01-23,196.0,256.0,360,568,945,1800.0,2090.0
01470500,01-24,205.0,276.0,380,552,927,2150.0,3830.0
01470500,01-25,210.0,277.0,360,565,1190,2370.0,4970.0
01470500,01-26,220.0,260.0,370,535,1560,2800.0,3100.0
01470500,01-27,236.0,250.0,375,541,1410,2260.0,3360.0
01470500,01-28,230.0,249.0,351,540,1440,2090.0,3100.0
01470500,01-29,210.0,240.0,326,508,1420,2160.0,2730.0
01470500,01-30,210.0,230.0,360,525,1140,1810.0,2230.0
01470500,01-31,210.0,227.0,340,507,1020,1740.0,1880.0
01470500,02-01,201.0,230.0,369,500,970,1480.0,1910.0
01470500,02-02,220.0,240.0,355,564,1020,1870.0,2510.0
01470500,02-03,205.0,260.0,367,640,1250,1790.0,2700.0
01470500,02-04,210.0,260.0,383,625,1200,2020.0,3510.0
01470500,02-05,210.0,260.0,367,629,1070,2160.0,2530.0
01470500,02-06,209.0,280.0,380,582,1010,1650.0,2080.0
01470500,02-07,219.0,280.0,371,674,1090,1540.0,1750.0
01470500,02-08,219.0,272.0,360,645,987,1340.0,1590.0
01470500,02-09,222.0,262.0,358,663,918,1210.0,1400.0
01470500,02-10,217.0,261.0,340,625,890,1190.0,1390.0
01470500,02-11,210.0,280.0,348,600,850,1210.0,1690.0
01470500,02-12,230.0,280.0,326,574,854,1220.0,2250.0
01470500,02-13,250.0,270.0,330,549,918,1700.0,2040.0
01470500,02-14,250.0,289.0,360,600,865,1520.0,2350.0
01470500,02-15,250.0,280.0,350,579,866,1780.0,2570.0
01470500,02-16,270.0,300.0,384,567,880,1460.0,1960.0
01470500,02-17,258.0,280.0,420,615,927,1300.0,2450.0
01470500,02-18,245.0,280.0,420,624,930,1470.0,1870.0
01470500,02-19,233.0,290.0,390,608,961,1520.0,1840.0
01470500,02-20,244.0,300.0,390,585,1060,1660.0,2190.0
01470500,02-21,251.0,300.0,410,589,1090,1800.0,2270.0
01470500,02-22,260.0,310.0,400,575,1140,2200.0,2400.0
01470500,02-23,271.0,325.0,418,647,1140,1930.0,2390.0
01470500,02-24,291.0,320.0,450,667,1420,2100.0,3040.0
01470500,02-25,280.0,309.0,453,709,1350,3060.0,3660.0
01470500,02-26,273.0,299.0,463,772,1240,2280.0,3420.0
01470500,02-27,260.0,280.0,441,724,1140,2110.0,2860.0
01470500,02-28,243.0,272.0,438,712,1050,2110.0,3170.0
01470500,02-29,238.0,302.0,406,774,1560,1820.0,2680.0
01470500,03-01,250.0,314.0,439,717,1370,1950.0,2410.0
01470500,03-02,252.0,320.0,435,740,1330,2230.0,2750.0
01470500,03-03,280.0,323.0,484,723,1100,2030.0,2970.0
01470500,03-04,290.0,352.0,500,738,1230,1920.0,2510.0
01470500,03-05,340.0,381.0,556,752,1300,2050.0,2650.0
01470500,03-06,310.0,381.0,550,830,1450,2010.0,3420.0
01470500,03-07,307.0,369.0,560,773,1360,1900.0,3050.0
01470500,03-08,318.0,359.0,558,812,1200,1920.0,2200.0
01470500,03-09,327.0,421.0,564,875,1210,1780.0,2340.0
01470500,03-10,311.0,423.0,564,800,1190,1910.0,3310.0
01470500,03-11,329.0,416.0,608,884,1220,2280.0,2830.0
01470500,03-12,344.0,440.0,595,878,1470,2190.0,2740.0
01470500,03-13,408.0,452.0,578,870,1420,2110.0,2820.0
01470500,03-14,399.0,427.0,584,870,1500,1990.0,2680.0
01470500,03-15,384.0,395.0,577,880,1430,2330.0,3360.0
01470500,03-16,373.0,388.0,569,898,1390,2250.0,2630.0
01470500,03-17,385.0,408.0,629,982,1420,2100.0,2200.0
01470500,03-18,375.0,438.0,602,972,1450,1940.0,2560.0
01470500,03-19,365.0,456.0,604,970,1430,1730.0,2210.0
01470500,03-20,358.0,429.0,583,982,1390,1990.0,2670.0
01470500,03-21,351.0,420.0,626,1020,1530,1940.0,2410.0
01470500,03-22,338.0,398.0,676,1080,1660,2700.0,4550.0
01470500,03-23,335.0,401.0,633,1090,1680,3300.0,3970.0
01470500,03-24,319.0,408.0,656,1100,1650,2700.0,3260.0
01470500,03-25,347.0,430.0,700,1080,1550,2330.0,2940.0
01470500,03-26,329.0,382.0,730,1080,1440,2270.0,3210.0
01470500,03-27,327.0,367.0,683,1030,1370,2110.0,3950.0
01470500,03-28,312.0,420.0,684,970,1390,2740.0,3920.0
01470500,03-29,309.0,410.0,650,929,1430,2270.0,4340.0
01470500,03-30,294.0,397.0,644,890,1460,2030.0,3160.0
01470500,03-31,342.0,408.0,652,830,1350,2380.0,3080.0
01470500,04-01,332.0,481.0,691,933,1450,2280.0,3120.0
01470500,04-02,345.0,495.0,698,962,1610,2270.0,2960.0
01470500,04-03,316.0,462.0,678,918,1680,2340.0,5230.0
01470500,04-04,336.0,477.0,638,963,1540,2780.0,4980.0
01470500,04-05,348.0,441.0,618,931,1430,3210.0,3820.0
01470500,04-06,323.0,448.0,584,969,1430,2860.0,3150.0
01470500,04-07,337.0,473.0,619,1000,1370,2440.0,4250.0
01470500,04-08,353.0,446.0,572,952,1420,2280.0,3460.0
01470500,04-09,348.0,450.0,548,860,1530,2210.0,2570.0
01470500,04-10,361.0,442.0,526,816,1440,2070.0,2880.0
01470500,04-11,341.0,434.0,505,807,1310,1830.0,2410.0
01470500,04-12,344.0,430.0,499,794,1290,1870.0,2160.0
01470500,04-13,349.0,428.0,544,877,1350,2010.0,2530.0
01470500,04-14,346.0,410.0,583,816,1360,2160.0,2690.0
01470500,04-15,342.0,396.0,553,924,1420,2340.0,2930.0
01470500,04-16,358.0,402.0,563,938,1420,2730.0,3910.0
01470500,04-17,356.0,387.0,547,903,1420,2800.0,3750.0
01470500,04-18,321.0,374.0,530,848,1320,2410.0,3070.0
01470500,04-19,299.0,373.0,509,818,1260,2080.0,2370.0
01470500,04-20,277.0,357.0,501,799,1200,1840.0,2290.0
01470500,04-21,285.0,342.0,511,792,1150,1620.0,2050.0
01470500,04-22,321.0,341.0,493,782,1100,1500.0,2050.0
01470500,04-23,313.0,336.0,501,762,1070,1720.0,2030.0
01470500,04-24,302.0,348.0,541,733,990,1480.0,1780.0
01470500,04-25,310.0,360.0,556,690,1030,1480.0,1690.0
01470500,04-26,306.0,376.0,570,714,1030,1340.0,1620.0
01470500,04-27,298.0,359.0,524,697,1040,1390.0,1750.0
01470500,04-28,290.0,364.0,521,709,1030,1390.0,2120.0
01470500,04-29,283.0,361.0,484,699,955,1680.0,2090.0
01470500,04-30,298.0,390.0,497,672,1020,1730.0,2410.0
01470500,05-01,298.0,401.0,478,673,970,1950.0,3340.0
01470500,05-02,369.0,400.0,515,648,944,1760.0,2260.0
01470500,05-03,378.0,402.0,516,699,1050,1680.0,2080.0
01470500,05-04,360.0,400.0,503,707,1120,1570.0,2000.0
01470500,05-05,364.0,427.0,511,691,1110,1540.0,1840.0
01470500,05-06,352.0,414.0,487,702,1170,1650.0,2420.0
01470500,05-07,339.0,407.0,469,720,1110,1900.0,2640.0
01470500,05-08,370.0,387.0,459,698,1090,1920.0,2780.0
01470500,05-09,387.0,400.0,469,695,1090,1820.0,2590.0
01470500,05-10,362.0,376.0,512,682,1010,1790.0,2410.0
01470500,05-11,334.0,380.0,506,695,1020,1780.0,2760.0
01470500,05-12,352.0,361.0,494,707,979,1990.0,2360.0
01470500,05-13,338.0,351.0,466,686,1180,1890.0,2680.0
01470500,05-14,329.0,338.0,442,675,1240,1740.0,3070.0
01470500,05-15,316.0,347.0,422,698,1110,1810.0,2630.0
01470500,05-16,312.0,334.0,420,681,1160,2240.0,3030.0
01470500,05-17,302.0,320.0,423,683,1020,2150.0,3400.0
01470500,05-18,291.0,327.0,406,647,1110,1850.0,2580.0
01470500,05-19,286.0,314.0,411,671,1040,1740.0,3350.0
01470500,05-20,291.0,323.0,422,690,958,1670.0,2720.0
01470500,05-21,266.0,322.0,418,647,992,1450.0,2150.0
01470500,05-22,278.0,304.0,389,611,865,1560.0,1740.0
01470500,05-23,258.0,313.0,380,606,909,1490.0,2310.0
01470500,05-24,307.0,315.0,395,611,890,1760.0,2350.0
01470500,05-25,268.0,313.0,387,568,849,1830.0,2150.0
01470500,05-26,246.0,304.0,363,551,811,1410.0,2070.0
01470500,05-27,249.0,286.0,353,546,762,1480.0,2440.0
01470500,05-28,246.0,280.0,350,503,699,1290.0,1950.0
01470500,05-29,255.0,269.0,355,485,925,1620.0,1740.0
01470500,05-30,239.0,261.0,350,510,940,1480.0,2010.0
01470500,05-31,225.0,258.0,342,472,923,1390.0,3030.0
01470500,06-01,223.0,264.0,345,487,803,1720.0,2860.0
01470500,06-02,219.0,257.0,340,482,802,1840.0,2330.0
01470500,06-03,228.0,247.0,327,473,794,1610.0,2020.0
01470500,06-04,213.0,244.0,330,451,801,1420.0,1970.0
01470500,06-05,203.0,253.0,313,444,795,1340.0,1710.0
01470500,06-06,219.0,264.0,308,432,822,1270.0,1850.0
01470500,06-07,190.0,232.0,317,472,797,1230.0,1690.0
01470500,06-08,197.0,229.0,281,439,746,1060.0,1660.0
01470500,06-09,192.0,242.0,310,408,695,999.0,1370.0
01470500,06-10,179.0,227.0,307,468,701,1010.0,1350.0
01470500,06-11,178.0,226.0,289,423,701,1000.0,1310.0
01470500,06-12,199.0,240.0,285,455,719,1060.0,1310.0
01470500,06-13,196.0,236.0,283,503,760,1440.0,1650.0
01470500,06-14,194.0,226.0,287,445,690,1010.0,1770.0
01470500,06-15,207.0,227.0,293,470,636,986.0,1400.0
01470500,06-16,198.0,228.0,284,439,601,922.0,1270.0
01470500,06-17,194.0,212.0,279,431,566,793.0,1210.0
01470500,06-18,190.0,212.0,275,403,567,949.0,1270.0
01470500,06-19,182.0,210.0,264,424,597,896.0,1070.0
01470500,06-20,172.0,208.0,260,369,566,829.0,1120.0
01470500,06-21,170.0,203.0,245,355,484,839.0,1360.0
01470500,06-22,177.0,193.0,244,366,502,1020.0,1640.0
01470500,06-23,181.0,202.0,237,385,544,825.0,1430.0
01470500,06-24,175.0,207.0,248,370,516,947.0,2050.0
01470500,06-25,170.0,196.0,240,362,497,852.0,1780.0
