SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01626000,01-01,31.0,36.0,57.0,107.0,211,366,591.0
01626000,01-02,29.0,36.0,63.0,108.0,204,381,496.0
01626000,01-03,30.0,38.0,62.0,111.0,208,323,392.0
01626000,01-04,31.0,37.0,63.0,108.0,199,300,408.0
01626000,01-05,29.0,36.0,61.0,105.0,205,280,385.0
01626000,01-06,31.0,36.0,59.0,102.0,198,298,377.0
01626000,01-07,32.0,35.0,60.0,106.0,200,273,323.0
01626000,01-08,32.0,35.0,62.0,123.0,192,290,343.0
01626000,01-09,31.0,34.0,70.0,124.0,186,316,493.0
01626000,01-10,30.0,35.0,69.0,128.0,206,341,396.0
01626000,01-11,30.0,35.0,70.0,128.0,197,322,432.0
01626000,01-12,29.0,36.0,70.0,126.0,204,366,564.0
01626000,01-13,30.0,38.0,68.0,121.0,202,312,486.0
01626000,01-14,31.0,37.0,69.0,121.0,211,344,466.0
01626000,01-15,31.0,39.0,73.0,118.0,198,344,501.0
01626000,01-16,32.0,47.0,71.0,128.0,194,296,375.0
01626000,01-17,32.0,45.0,70.0,118.0,192,285,332.0
01626000,01-18,33.0,43.0,70.0,114.0,182,344,508.0
01626000,01-19,34.0,44.0,67.0,114.0,169,288,555.0
01626000,01-20,34.0,46.0,68.0,122.0,172,332,489.0
01626000,01-21,31.0,45.0,68.0,117.0,169,367,486.0
01626000,01-22,32.0,43.0,71.0,120.0,183,392,477.0
01626000,01-23,32.0,44.0,77.0,118.0,184,365,441.0
01626000,01-24,32.0,46.0,83.0,135.0,237,449,732.0
01626000,01-25,32.0,46.0,85.0,138.0,295,567,731.0
01626000,01-26,31.0,47.0,85.0,140.0,239,478,633.0
01626000,01-27,31.0,45.0,80.0,141.0,225,372,724.0
01626000,01-28,31.0,42.0,74.0,132.0,241,410,889.0
01626000,01-29,31.0,44.0,76.0,123.0,211,419,650.0
01626000,01-30,31.0,46.0,80.0,124.0,200,335,554.0
01626000,01-31,30.0,49.0,77.0,133.0,184,368,485.0
01626000,02-01,30.0,48.0,76.0,137.0,219,311,428.0
01626000,02-02,34.0,55.0,85.0,138.0,228,399,471.0
01626000,02-03,34.0,57.0,87.0,136.0,216,387,658.0
01626000,02-04,37.0,61.0,82.0,145.0,225,480,747.0
01626000,02-05,37.0,59.0,85.0,145.0,210,408,587.0
01626000,02-06,37.0,53.0,92.0,152.0,216,370,490.0
01626000,02-07,34.0,56.0,98.0,150.0,234,434,630.0
