SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01531500,01-01,1970.0,3000.0,4210.0,8000,15900,28000.0,37900.0
01531500,01-02,1890.0,2960.0,4100.0,8240,18800,29200.0,41200.0
01531500,01-03,1900.0,3000.0,4050.0,8140,17500,27900.0,34900.0
01531500,01-04,1940.0,2930.0,4150.0,8020,16800,25200.0,34900.0
01531500,01-05,1790.0,2840.0,3800.0,8480,16400,25000.0,31900.0
01531500,01-06,2010.0,2800.0,3950.0,9240,16000,25200.0,33900.0
01531500,01-07,2450.0,2780.0,4120.0,8800,16200,24400.0,33500.0
01531500,01-08,2200.0,2740.0,4050.0,8900,15000,22200.0,40400.0
01531500,01-09,2070.0,2590.0,4050.0,8280,13000,26300.0,30600.0
01531500,01-10,2070.0,2540.0,4060.0,7940,12200,25500.0,33500.0
01531500,01-11,1980.0,2440.0,4230.0,7450,13000,22800.0,32500.0
01531500,01-12,1940.0,2540.0,4270.0,7500,12000,24600.0,38200.0
01531500,01-13,1800.0,2640.0,4000.0,7360,14000,26200.0,36000.0
01531500,01-14,1870.0,2360.0,4000.0,6850,13700,26800.0,36900.0
01531500,01-15,1770.0,2220.0,3800.0,6880,13100,23600.0,31600.0
01531500,01-16,1910.0,2320.0,3600.0,7100,13300,22900.0,32100.0
01531500,01-17,1890.0,2540.0,3700.0,6940,13600,23700.0,26400.0
01531500,01-18,1700.0,2300.0,3800.0,6800,12600,19500.0,28800.0
01531500,01-19,1690.0,2040.0,3820.0,6400,12400,21300.0,30900.0
01531500,01-20,1800.0,2000.0,4000.0,6020,12700,20500.0,30400.0
01531500,01-21,1840.0,2310.0,3990.0,6500,11000,23400.0,35500.0
01531500,01-22,1880.0,2560.0,4050.0,6900,10700,23200.0,36600.0
01531500,01-23,1870.0,2670.0,4000.0,6800,13000,23100.0,35400.0
01531500,01-24,1790.0,2580.0,4120.0,6570,12800,26500.0,38600.0
01531500,01-25,1730.0,2640.0,4060.0,6600,14900,32600.0,42600.0
01531500,01-26,1700.0,2640.0,4000.0,7000,16700,28100.0,57700.0
01531500,01-27,1660.0,2540.0,3750.0,7000,16000,36300.0,49100.0
01531500,01-28,1640.0,2340.0,3860.0,6730,15900,32400.0,52500.0
01531500,01-29,1680.0,2260.0,3800.0,6200,14000,27300.0,40500.0
01531500,01-30,1710.0,2180.0,3800.0,6000,14300,23000.0,35000.0
01531500,01-31,1710.0,2070.0,3830.0,6700,14900,26100.0,31500.0
01531500,02-01,1590.0,2070.0,3870.0,6700,12900,22600.0,28200.0
01531500,02-02,1540.0,2060.0,3990.0,6500,14000,22800.0,30000.0
01531500,02-03,1650.0,2000.0,4050.0,6400,14200,24600.0,35000.0
01531500,02-04,1730.0,2080.0,4120.0,6810,12800,24700.0,34500.0
01531500,02-05,1730.0,2100.0,4090.0,6310,13200,21200.0,32500.0
01531500,02-06,1790.0,2410.0,3850.0,7020,12000,18100.0,29100.0
01531500,02-07,1780.0,2600.0,3830.0,6560,11900,19600.0,23700.0
01531500,02-08,1760.0,2670.0,3830.0,6500,11200,17800.0,25000.0
01531500,02-09,1750.0,2840.0,3700.0,6000,10000,18600.0,27600.0
01531500,02-10,1740.0,2700.0,3550.0,6000,10500,17600.0,30700.0
01531500,02-11,1720.0,2600.0,3600.0,5800,11200,25000.0,31900.0
01531500,02-12,1720.0,2680.0,3600.0,6000,10900,20500.0,36200.0
01531500,02-13,1970.0,2740.0,3600.0,5760,11100,21200.0,41100.0
01531500,02-14,2340.0,2670.0,3700.0,5800,11100,25400.0,37100.0
01531500,02-15,2270.0,2600.0,4000.0,6000,12800,25900.0,31800.0
01531500,02-16,2140.0,2500.0,4260.0,6600,12000,26400.0,40600.0
01531500,02-17,2140.0,2720.0,4350.0,7560,13300,25900.0,39000.0
01531500,02-18,2140.0,2680.0,4280.0,7160,13300,26500.0,37200.0
01531500,02-19,2070.0,3020.0,4400.0,7460,13200,24000.0,44400.0
01531500,02-20,2110.0,2840.0,4500.0,8180,15300,30500.0,45200.0
01531500,02-21,2110.0,2800.0,4250.0,8250,14800,31200.0,41700.0
01531500,02-22,2210.0,3000.0,4250.0,8190,17100,33400.0,47200.0
01531500,02-23,2390.0,3200.0,4550.0,8270,20000,37000.0,44900.0
01531500,02-24,2510.0,3100.0,4750.0,8310,23300,34500.0,56400.0
01531500,02-25,2520.0,3100.0,4660.0,8900,23300,42300.0,53900.0
01531500,02-26,2850.0,3300.0,4810.0,9110,20200,43800.0,54600.0
01531500,02-27,2780.0,3240.0,4980.0,9900,21400,38700.0,48500.0
01531500,02-28,2350.0,3240.0,5150.0,10000,21900,40200.0,48100.0
01531500,02-29,1800.0,2090.0,4820.0,9150,17300,30500.0,71700.0
01531500,03-01,2290.0,3140.0,5460.0,12400,19900,40200.0,47200.0
01531500,03-02,2210.0,3180.0,5600.0,12200,19500,36900.0,49100.0
01531500,03-03,2470.0,3180.0,6100.0,10900,19600,35100.0,46700.0
01531500,03-04,2670.0,3600.0,6030.0,11400,20300,35900.0,50900.0
01531500,03-05,3140.0,3840.0,6690.0,11400,22100,48800.0,60900.0
01531500,03-06,3170.0,3690.0,6720.0,11200,24500,50700.0,68300.0
01531500,03-07,3380.0,3860.0,6710.0,11400,28700,46600.0,71900.0
01531500,03-08,3550.0,4600.0,7190.0,13000,28600,54000.0,67600.0
01531500,03-09,3770.0,4700.0,7010.0,13700,26200,54900.0,61800.0
01531500,03-10,3620.0,4580.0,6820.0,13800,25500,47800.0,70200.0
01531500,03-11,3870.0,4680.0,7440.0,13800,26000,48700.0,55900.0
01531500,03-12,4060.0,4920.0,8020.0,14900,31200,45100.0,58900.0
01531500,03-13,4430.0,5350.0,8000.0,16100,30600,49000.0,57000.0
01531500,03-14,4670.0,5540.0,9230.0,17600,30300,45200.0,76000.0
01531500,03-15,4600.0,5250.0,9600.0,17800,32500,44200.0,81400.0
01531500,03-16,4350.0,5490.0,10400.0,18900,30600,48800.0,75300.0
01531500,03-17,4460.0,5720.0,10400.0,18200,31300,56600.0,75300.0
01531500,03-18,4640.0,6700.0,11600.0,19300,31200,63600.0,79400.0
01531500,03-19,4780.0,6170.0,11100.0,17000,32300,50500.0,69500.0
01531500,03-20,5470.0,7610.0,11000.0,17100,29500,44500.0,61600.0
01531500,03-21,5920.0,7750.0,12000.0,18100,28500,45700.0,57900.0
01531500,03-22,6630.0,7360.0,12100.0,19600,32100,44900.0,78100.0
01531500,03-23,6160.0,8360.0,12200.0,17900,32600,50800.0,69600.0
01531500,03-24,6120.0,7970.0,12500.0,19200,30400,51800.0,70500.0
01531500,03-25,7130.0,9160.0,12400.0,20600,30300,53900.0,60400.0
01531500,03-26,7280.0,9080.0,14100.0,20100,32400,53100.0,61800.0
01531500,03-27,7730.0,9530.0,13700.0,21100,35800,56200.0,60900.0
01531500,03-28,7380.0,9800.0,15300.0,23300,37000,58500.0,72300.0
01531500,03-29,8310.0,9770.0,15000.0,23000,34400,60100.0,85200.0
01531500,03-30,7960.0,10300.0,14800.0,22800,36200,58500.0,76100.0
01531500,03-31,7620.0,10600.0,14400.0,22900,38600,59600.0,95900.0
01531500,04-01,7190.0,11000.0,14400.0,22600,36600,64700.0,92500.0
01531500,04-02,7490.0,10700.0,14700.0,23000,38300,59400.0,82000.0
01531500,04-03,8040.0,11100.0,15400.0,24000,40100,65900.0,87900.0
01531500,04-04,8030.0,10000.0,16000.0,25100,40600,69200.0,80700.0
01531500,04-05,8050.0,9460.0,16400.0,24000,42000,70000.0,84400.0
01531500,04-06,8150.0,10000.0,15100.0,25600,42400,66100.0,96400.0
01531500,04-07,8500.0,11000.0,15200.0,24600,42300,69500.0,92900.0
01531500,04-08,8470.0,10800.0,15200.0,24000,38900,60600.0,79300.0
01531500,04-09,8900.0,11300.0,15000.0,22500,35400,58800.0,74900.0
01531500,04-10,8980.0,11700.0,14600.0,20900,35000,50800.0,67400.0
01531500,04-11,8630.0,11000.0,13700.0,20800,33500,51000.0,61900.0
01531500,04-12,8650.0,10100.0,12900.0,20500,31200,49400.0,56800.0
01531500,04-13,8170.0,8940.0,13300.0,23300,34100,44500.0,50800.0
01531500,04-14,7930.0,8620.0,13400.0,21800,33200,42400.0,52400.0
01531500,04-15,7270.0,8150.0,12800.0,21100,30500,47700.0,57400.0
01531500,04-16,6840.0,8560.0,12200.0,19900,30900,46000.0,57200.0
01531500,04-17,6510.0,8060.0,12200.0,19400,28300,50400.0,62200.0
01531500,04-18,6450.0,8070.0,11700.0,18600,27600,47100.0,54300.0
01531500,04-19,6130.0,7770.0,10700.0,16800,27200,44100.0,48100.0
01531500,04-20,6280.0,7630.0,10400.0,16200,26000,39400.0,45600.0
01531500,04-21,5880.0,7480.0,9660.0,16900,25600,38100.0,51500.0
01531500,04-22,5530.0,6980.0,9830.0,15200,25300,36200.0,56700.0
01531500,04-23,5840.0,7100.0,10000.0,15100,25300,40900.0,56000.0
01531500,04-24,5970.0,7570.0,10200.0,14700,24400,39000.0,45800.0
01531500,04-25,5730.0,7470.0,9450.0,14100,24200,38400.0,42900.0
01531500,04-26,5500.0,7110.0,9500.0,13800,22400,33700.0,42000.0
01531500,04-27,6220.0,6860.0,9840.0,14000,21500,30400.0,37200.0
01531500,04-28,5840.0,6990.0,9160.0,13500,21100,27100.0,37500.0
01531500,04-29,5860.0,7000.0,9410.0,12800,19700,28500.0,33600.0
01531500,04-30,5510.0,6730.0,9310.0,12200,17900,26900.0,35300.0
01531500,05-01,5390.0,6410.0,9130.0,12000,17800,29300.0,55800.0
01531500,05-02,5250.0,6240.0,8560.0,11900,16900,25000.0,43900.0
01531500,05-03,5160.0,6100.0,8360.0,12000,17400,25100.0,35800.0
01531500,05-04,5140.0,5820.0,7900.0,11800,16400,25800.0,32200.0
01531500,05-05,5020.0,5770.0,7570.0,11200,17200,26200.0,36600.0
01531500,05-06,4870.0,5410.0,7280.0,11100,18400,30000.0,38100.0
01531500,05-07,4560.0,5020.0,7040.0,10700,17400,29400.0,38400.0
