SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01595500,01-01,100.0,140,238,392,560,1510,2010.0
01595500,01-02,110.0,150,250,383,762,1570,2310.0
01595500,01-03,118.0,145,258,375,786,1700,2570.0
01595500,01-04,110.0,143,245,400,1020,1620,1890.0
01595500,01-05,96.0,136,224,340,903,1500,1660.0
01595500,01-06,86.0,130,220,440,820,1260,1420.0
01595500,01-07,90.0,125,220,388,823,1250,1750.0
01595500,01-08,80.0,125,210,365,677,1010,1310.0
01595500,01-09,100.0,125,205,373,627,968,1060.0
01595500,01-10,107.0,145,231,429,584,1080,2030.0
01595500,01-11,103.0,150,244,416,624,1050,1720.0
01595500,01-12,105.0,144,234,400,623,1520,2270.0
01595500,01-13,100.0,125,218,369,688,1170,2130.0
01595500,01-14,100.0,135,210,390,773,1200,1290.0
01595500,01-15,105.0,150,240,400,666,1440,2020.0
01595500,01-16,105.0,130,230,385,640,1180,1720.0
01595500,01-17,91.0,116,221,356,554,1000,1780.0
01595500,01-18,84.0,113,209,310,590,1180,1560.0
01595500,01-19,84.0,110,214,318,567,1140,1440.0
01595500,01-20,84.0,106,214,325,582,998,1490.0
01595500,01-21,75.0,96,206,316,611,944,1360.0
01595500,01-22,82.0,95,210,330,581,909,1060.0
01595500,01-23,82.0,120,191,370,629,1080,1590.0
01595500,01-24,84.0,120,210,342,713,1370,2250.0
01595500,01-25,70.0,130,202,332,750,1970,2150.0
01595500,01-26,74.0,140,214,398,821,2030,2600.0
01595500,01-27,84.0,130,226,430,819,1450,1700.0
01595500,01-28,82.0,130,238,412,778,1120,1780.0
01595500,01-29,105.0,148,209,420,724,1700,2410.0
01595500,01-30,98.0,140,199,450,932,1330,2460.0
01595500,01-31,93.0,150,213,420,762,1750,2340.0
01595500,02-01,86.0,150,210,412,777,1800,3160.0
01595500,02-02,110.0,165,230,465,760,1670,2410.0
01595500,02-03,105.0,160,280,431,896,1800,2140.0
01595500,02-04,92.0,170,258,401,873,1660,2360.0
01595500,02-05,100.0,170,280,424,866,1270,2320.0
01595500,02-06,92.0,157,272,420,836,1590,2140.0
01595500,02-07,82.0,137,266,465,864,1420,2600.0
01595500,02-08,78.0,114,266,460,760,1460,1890.0
01595500,02-09,74.0,140,248,471,816,1450,1950.0
01595500,02-10,103.0,140,234,416,787,1660,1810.0
01595500,02-11,128.0,165,270,438,937,1840,2100.0
01595500,02-12,136.0,165,266,413,912,1440,1840.0
01595500,02-13,132.0,190,275,425,960,1260,1600.0
01595500,02-14,137.0,200,250,400,920,1170,2020.0
01595500,02-15,132.0,216,256,411,731,1260,1910.0
01595500,02-16,130.0,224,285,479,835,1370,1570.0
01595500,02-17,146.0,212,295,520,742,1300,1620.0
01595500,02-18,150.0,210,290,501,740,1610,2370.0
01595500,02-19,155.0,202,302,491,737,1550,2300.0
01595500,02-20,150.0,208,303,455,816,1420,2150.0
01595500,02-21,145.0,210,306,458,998,2060,2600.0
01595500,02-22,145.0,200,317,528,920,1670,1970.0
01595500,02-23,155.0,200,299,600,1060,1550,1970.0
01595500,02-24,179.0,200,328,585,1070,1920,3290.0
01595500,02-25,172.0,202,335,592,1230,2840,3310.0
01595500,02-26,170.0,185,338,540,969,2120,2980.0
01595500,02-27,161.0,168,327,532,968,2170,2340.0
01595500,02-28,150.0,168,376,534,954,1930,2290.0
01595500,02-29,,145,236,518,880,3040,
01595500,03-01,164.0,179,371,541,1140,2410,3980.0
01595500,03-02,137.0,250,352,604,1080,2040,2490.0
01595500,03-03,150.0,225,379,655,1110,1580,2380.0
01595500,03-04,155.0,220,394,722,1350,2350,3530.0
01595500,03-05,150.0,240,424,626,1390,2990,5110.0
01595500,03-06,155.0,239,455,718,1230,2140,4260.0
01595500,03-07,162.0,222,433,660,1190,1760,2600.0
01595500,03-08,155.0,201,425,694,1140,1710,2010.0
01595500,03-09,165.0,257,448,640,929,1380,1790.0
01595500,03-10,185.0,232,436,626,854,1610,1650.0
01595500,03-11,201.0,272,460,627,1090,1660,2970.0
01595500,03-12,210.0,310,444,693,1200,1790,2880.0
01595500,03-13,216.0,383,470,734,1250,2220,3090.0
01595500,03-14,213.0,371,464,737,1460,2250,2880.0
01595500,03-15,209.0,341,423,668,1260,1950,3220.0
01595500,03-16,190.0,331,421,668,1280,1720,2510.0
01595500,03-17,266.0,325,414,570,1020,1800,2570.0
01595500,03-18,284.0,296,464,573,888,1430,2190.0
01595500,03-19,254.0,342,465,657,1090,1570,2150.0
01595500,03-20,239.0,314,489,730,1300,1970,2470.0
01595500,03-21,231.0,303,457,700,1360,2050,2740.0
01595500,03-22,218.0,269,407,684,1330,1860,3210.0
01595500,03-23,205.0,279,452,716,1110,1800,2350.0
01595500,03-24,208.0,335,466,741,1200,2100,2330.0
01595500,03-25,206.0,325,435,654,1280,1660,2260.0
01595500,03-26,213.0,324,394,722,1060,1630,2380.0
01595500,03-27,244.0,348,470,659,1000,1530,2510.0
01595500,03-28,269.0,330,462,637,1100,1960,3190.0
01595500,03-29,262.0,307,446,639,1040,2340,2870.0
01595500,03-30,251.0,343,445,680,1050,1850,2120.0
01595500,03-31,260.0,341,432,603,1010,1470,1780.0
01595500,04-01,269.0,362,437,641,1050,1500,1730.0
01595500,04-02,296.0,332,474,699,1110,1540,1590.0
01595500,04-03,288.0,335,482,661,1020,1560,2970.0
01595500,04-04,326.0,345,446,806,1130,1850,2640.0
01595500,04-05,291.0,354,494,771,1170,1660,2740.0
01595500,04-06,291.0,346,499,715,1160,1550,1970.0
01595500,04-07,292.0,350,435,672,990,1540,1710.0
01595500,04-08,275.0,300,465,653,1060,1400,2120.0
01595500,04-09,263.0,296,423,736,1140,1510,1630.0
01595500,04-10,240.0,274,383,737,1020,1320,1720.0
01595500,04-11,219.0,271,354,677,923,1260,1430.0
01595500,04-12,245.0,274,393,626,917,1360,1500.0
01595500,04-13,240.0,266,374,586,960,1630,2260.0
01595500,04-14,237.0,252,334,573,1130,1370,1590.0
01595500,04-15,229.0,244,343,614,1140,1360,1710.0
01595500,04-16,208.0,227,326,626,984,1550,2160.0
01595500,04-17,202.0,253,320,581,840,1290,1760.0
01595500,04-18,188.0,225,320,526,806,1310,1440.0
01595500,04-19,188.0,228,326,535,708,1070,1200.0
01595500,04-20,174.0,215,316,533,840,1000,1290.0
01595500,04-21,176.0,209,295,427,776,1030,1540.0
01595500,04-22,175.0,198,298,396,758,1320,1540.0
01595500,04-23,170.0,196,308,493,721,1440,1940.0
01595500,04-24,172.0,213,296,486,884,1450,2200.0
01595500,04-25,155.0,205,317,485,946,1900,2440.0
01595500,04-26,183.0,194,320,475,1100,1620,1740.0
01595500,04-27,154.0,218,326,522,1030,1450,1870.0
01595500,04-28,182.0,213,332,546,846,1290,2440.0
01595500,04-29,187.0,209,353,497,952,1590,2120.0
01595500,04-30,171.0,187,313,530,900,1500,2780.0
01595500,05-01,159.0,185,314,501,789,1280,1740.0
01595500,05-02,152.0,210,324,480,750,1100,1320.0
01595500,05-03,186.0,217,329,490,728,1190,1660.0
01595500,05-04,169.0,205,309,480,758,1460,2210.0
01595500,05-05,167.0,190,276,439,808,1520,2080.0
01595500,05-06,150.0,215,254,454,886,1290,1870.0
01595500,05-07,147.0,200,273,510,955,1420,2520.0
01595500,05-08,152.0,198,288,452,846,1830,2300.0
01595500,05-09,135.0,196,256,455,815,1450,2350.0
01595500,05-10,130.0,185,229,398,787,1100,1710.0
01595500,05-11,125.0,175,225,371,770,999,1870.0
01595500,05-12,143.0,180,251,403,814,1040,1600.0
01595500,05-13,132.0,171,262,480,849,1670,2180.0
01595500,05-14,136.0,166,294,455,872,1350,1690.0
01595500,05-15,131.0,192,284,560,931,1560,1900.0
01595500,05-16,135.0,175,261,496,770,1870,2480.0
01595500,05-17,125.0,169,251,416,692,1990,2110.0
01595500,05-18,142.0,187,308,425,685,1280,1840.0
01595500,05-19,129.0,205,289,446,674,1100,1470.0
01595500,05-20,152.0,170,304,445,645,1290,1630.0
01595500,05-21,145.0,152,256,387,548,1060,1660.0
01595500,05-22,125.0,150,236,346,532,1280,1430.0
01595500,05-23,123.0,154,217,336,596,1340,1850.0
01595500,05-24,118.0,161,227,340,544,1050,1460.0
01595500,05-25,112.0,155,202,300,490,1070,1770.0
01595500,05-26,128.0,134,190,285,428,803,1060.0
01595500,05-27,118.0,134,180,315,536,896,1920.0
01595500,05-28,106.0,114,173,310,657,1150,2360.0
01595500,05-29,92.0,109,181,379,621,944,1610.0
01595500,05-30,82.0,106,193,317,479,888,1270.0
01595500,05-31,74.0,103,169,337,495,891,1770.0
01595500,06-01,72.0,93,147,295,456,1080,1440.0
01595500,06-02,71.0,95,138,283,441,951,1020.0
01595500,06-03,75.0,88,137,285,373,807,2100.0
01595500,06-04,68.0,86,131,264,499,1250,1840.0
01595500,06-05,63.0,73,135,247,598,1200,1860.0
01595500,06-06,63.0,76,130,257,572,1200,1800.0
01595500,06-07,68.0,88,120,222,520,869,1320.0
01595500,06-08,69.0,85,118,222,411,716,1430.0
01595500,06-09,74.0,83,140,220,350,642,927.0
01595500,06-10,72.0,82,136,201,444,934,1270.0
01595500,06-11,68.0,76,112,206,499,1020,1550.0
01595500,06-12,58.0,67,108,204,448,702,1280.0
01595500,06-13,52.0,60,107,190,455,891,1450.0
01595500,06-14,57.0,68,104,201,580,1010,2190.0
01595500,06-15,59.0,72,110,196,433,875,1150.0
01595500,06-16,54.0,78,113,182,392,650,812.0
01595500,06-17,55.0,72,108,189,369,636,960.0
01595500,06-18,65.0,69,115,204,395,811,1010.0
01595500,06-19,61.0,66,99,214,401,694,776.0
01595500,06-20,61.0,75,94,193,350,626,862.0
01595500,06-21,58.0,67,100,241,353,551,837.0
01595500,06-22,49.0,69,98,209,393,623,1080.0
01595500,06-23,45.0,70,89,202,308,570,628.0
01595500,06-24,45.0,65,84,173,344,522,921.0
01595500,06-25,40.0,60,91,189,354,508,1460.0
01595500,06-26,38.0,56,91,145,278,637,1110.0
01595500,06-27,34.0,53,76,152,255,498,836.0
01595500,06-28,37.0,49,75,148,254,626,1280.0
01595500,06-29,34.0,51,80,125,240,656,854.0
01595500,06-30,32.0,52,83,129,227,463,673.0
01595500,07-01,30.0,44,77,120,244,482,1010.0
01595500,07-02,36.0,44,71,124,212,539,656.0
01595500,07-03,31.0,38,66,114,242,554,1040.0
01595500,07-04,33.0,36,64,111,251,492,633.0
01595500,07-05,31.0,39,62,111,279,663,1180.0
01595500,07-06,31.0,41,69,138,269,651,1040.0
01595500,07-07,31.0,41,64,115,282,626,717.0
01595500,07-08,31.0,37,60,127,284,655,790.0
01595500,07-09,36.0,45,67,127,274,644,770.0
01595500,07-10,28.0,53,72,107,283,526,786.0
01595500,07-11,26.0,42,65,110,220,522,902.0
01595500,07-12,25.0,38,63,121,243,559,820.0
01595500,07-13,27.0,38,70,137,219,502,561.0
01595500,07-14,30.0,36,73,135,205,392,426.0
01595500,07-15,37.0,42,72,114,198,378,546.0
01595500,07-16,33.0,39,67,103,216,354,417.0
01595500,07-17,28.0,33,61,98,185,335,386.0
01595500,07-18,24.0,26,57,97,175,294,345.0
01595500,07-19,22.0,28,55,95,162,281,335.0
01595500,07-20,23.0,25,64,99,159,277,394.0
01595500,07-21,22.0,32,66,104,168,271,393.0
01595500,07-22,21.0,27,66,105,204,276,346.0
01595500,07-23,21.0,30,61,102,190,353,564.0
01595500,07-24,28.0,33,62,106,195,328,444.0
01595500,07-25,23.0,48,68,100,168,245,279.0
01595500,07-26,20.0,45,67,93,137,235,277.0
01595500,07-27,19.0,40,65,90,158,318,492.0
01595500,07-28,18.0,31,62,81,158,317,674.0
01595500,07-29,20.0,35,54,87,131,470,852.0
01595500,07-30,19.0,32,54,91,139,233,524.0
01595500,07-31,20.0,31,53,92,149,306,401.0
01595500,08-01,21.0,31,52,93,161,390,667.0
01595500,08-02,18.0,35,48,88,188,401,458.0
01595500,08-03,22.0,32,50,81,184,328,555.0
01595500,08-04,21.0,34,57,88,195,390,542.0
01595500,08-05,21.0,35,58,85,148,430,538.0
01595500,08-06,20.0,30,54,84,172,309,742.0
01595500,08-07,23.0,38,50,94,145,211,569.0
01595500,08-08,27.0,38,52,90,131,226,733.0
01595500,08-09,32.0,40,55,78,157,347,502.0
01595500,08-10,31.0,42,55,81,185,353,495.0
01595500,08-11,32.0,44,60,84,200,298,361.0
01595500,08-12,32.0,47,59,96,179,298,511.0
01595500,08-13,39.0,44,57,84,181,266,662.0
01595500,08-14,32.0,40,56,93,158,357,855.0
01595500,08-15,32.0,41,50,86,154,289,489.0
01595500,08-16,32.0,39,50,85,153,293,694.0
01595500,08-17,31.0,39,49,84,148,463,612.0
01595500,08-18,38.0,40,50,71,158,421,1000.0
01595500,08-19,33.0,40,50,71,139,355,1790.0
01595500,08-20,30.0,36,45,66,150,294,1100.0
