SiteCode,MonthDay,p05,p10,p25,p50,p75,p90,p95
01541200,01-01,201.0,254.0,338.0,624,1170.0,2330.0,2470.0
01541200,01-02,223.0,266.0,373.0,604,1150.0,2380.0,3170.0
01541200,01-03,225.0,268.0,392.0,563,1020.0,2130.0,3120.0
01541200,01-04,194.0,260.0,359.0,553,1340.0,2270.0,3420.0
01541200,01-05,195.0,260.0,334.0,556,1360.0,2070.0,3210.0
01541200,01-06,163.0,194.0,298.0,523,1240.0,2080.0,3310.0
01541200,01-07,187.0,231.0,295.0,482,1110.0,1590.0,2770.0
01541200,01-08,208.0,247.0,303.0,472,988.0,1530.0,3030.0
01541200,01-09,201.0,220.0,318.0,527,949.0,1580.0,3880.0
01541200,01-10,198.0,241.0,296.0,552,833.0,2210.0,2530.0
01541200,01-11,221.0,239.0,297.0,500,758.0,1490.0,2690.0
01541200,01-12,205.0,247.0,321.0,487,838.0,1400.0,1690.0
01541200,01-13,200.0,231.0,324.0,563,955.0,1370.0,1930.0
01541200,01-14,200.0,233.0,319.0,510,1020.0,1760.0,2580.0
01541200,01-15,207.0,222.0,302.0,511,992.0,1620.0,2200.0
01541200,01-16,191.0,231.0,281.0,520,873.0,1340.0,1570.0
01541200,01-17,201.0,215.0,256.0,447,955.0,1170.0,1740.0
01541200,01-18,167.0,180.0,254.0,443,823.0,1480.0,2390.0
01541200,01-19,156.0,184.0,275.0,465,791.0,1450.0,2010.0
01541200,01-20,171.0,198.0,270.0,475,917.0,1390.0,2640.0
01541200,01-21,175.0,190.0,258.0,427,865.0,1820.0,2490.0
01541200,01-22,180.0,197.0,268.0,390,789.0,1660.0,2770.0
01541200,01-23,182.0,206.0,281.0,378,845.0,1600.0,2660.0
01541200,01-24,172.0,205.0,274.0,411,1020.0,1720.0,3190.0
01541200,01-25,166.0,214.0,271.0,414,1230.0,1970.0,2620.0
01541200,01-26,172.0,212.0,267.0,522,1080.0,2510.0,3970.0
01541200,01-27,160.0,206.0,298.0,548,1060.0,2260.0,4330.0
01541200,01-28,164.0,205.0,290.0,587,1010.0,2220.0,4320.0
01541200,01-29,161.0,176.0,290.0,550,1070.0,2070.0,3300.0
01541200,01-30,160.0,170.0,306.0,553,1050.0,2110.0,2750.0
01541200,01-31,155.0,165.0,307.0,520,1080.0,2110.0,3080.0
01541200,02-01,140.0,167.0,309.0,604,946.0,1800.0,3490.0
01541200,02-02,143.0,172.0,336.0,584,984.0,1910.0,2890.0
01541200,02-03,151.0,224.0,359.0,650,988.0,2390.0,3170.0
01541200,02-04,155.0,221.0,356.0,637,1150.0,2540.0,3370.0
01541200,02-05,156.0,196.0,319.0,636,1200.0,2780.0,3390.0
01541200,02-06,157.0,186.0,326.0,578,1130.0,2940.0,3790.0
01541200,02-07,150.0,201.0,350.0,546,1030.0,2570.0,3680.0
01541200,02-08,150.0,204.0,343.0,520,1040.0,2100.0,3670.0
01541200,02-09,150.0,200.0,352.0,484,967.0,1870.0,2760.0
01541200,02-10,150.0,172.0,322.0,453,903.0,1980.0,2450.0
01541200,02-11,153.0,202.0,329.0,496,930.0,1690.0,2970.0
01541200,02-12,169.0,256.0,311.0,473,1040.0,1610.0,2300.0
01541200,02-13,195.0,254.0,319.0,436,953.0,1650.0,2780.0
01541200,02-14,196.0,230.0,321.0,440,874.0,1190.0,2900.0
01541200,02-15,163.0,227.0,328.0,430,846.0,1970.0,2210.0
01541200,02-16,234.0,277.0,352.0,554,832.0,1990.0,2890.0
01541200,02-17,248.0,271.0,360.0,620,1170.0,2180.0,3740.0
01541200,02-18,235.0,267.0,349.0,695,1170.0,1950.0,3770.0
01541200,02-19,231.0,247.0,335.0,624,1200.0,2430.0,4190.0
