,nwsid,usgsid,fgroup
0,SHBN6,01505000,Chenango
1,GNEN6,01507000,Chenango
2,CRTN6,01509000,Chenango
3,CINN6,01510000,Chenango
4,CNON6,01512500,Chenango
5,ESIN6,01500000,NBrSusquehanna
6,UNDN6,01500500,NBrSusquehanna
7,RCKN6,01502500,NBrSusquehanna
8,BAIN6,01502632,NBrSusquehanna
9,WSRN6,01502731,NBrSusquehanna
10,CKLN6,01503000,NBrSusquehanna
11,VSTN6,01513500,NBrSusquehanna
12,BNGN6,01503500,NBrSusquehanna
13,WVYN6,01515000,NBrSusquehanna
14,OWGN6,01513831,NBrSusquehanna
15,MFDP1,01516350,Chemung
16,TGRP1,01518000,Chemung
17,TGJP1,01518700,Chemung
18,LWVP1,01520000,Chemung
19,LDYN6,01520500,Chemung
20,WCRN6,01525500,Chemung
21,CMPN6,01529500,Chemung
22,CRNN6,01529950,Chemung
23,CMGN6,01531000,Chemung
24,CHEN6,01530332,Chemung
25,TOWP1,01531500,UpperMainStemSusq
26,MONP1,01532000,UpperMainStemSusq
27,MHPP1,01533400,UpperMainStemSusq
28,TNKP1,01534000,UpperMainStemSusq
29,OFRP1,01536000,UpperMainStemSusq
30,WBRP1,01536500,UpperMainStemSusq
31,BMBP1,01538700,UpperMainStemSusq
32,DANP1,01540500,UpperMainStemSusq
33,CRVP1,01541200,WBrSusquehanna
34,DMLP1,01541500,WBrSusquehanna
35,KARP1,01542500,WBrSusquehanna
36,SNNP1,01543500,WBrSusquehanna
37,SFFP1,01544000,WBrSusquehanna
38,WESP1,01545000,WBrSusquehanna
39,ROVP1,01545500,WBrSusquehanna
40,LHVP1,01545800,WBrSusquehanna
41,MSBP1,01547200,WBrSusquehanna
42,BCHP1,01547500,WBrSusquehanna
43,BECP1,01548005,WBrSusquehanna
44,CEDP1,01548500,WBrSusquehanna
45,JRSP1,01549760,WBrSusquehanna
46,LYCP1,01550500,WBrSusquehanna
47,WILP1,01551500,WBrSusquehanna
48,LOYP1,01552000,WBrSusquehanna
49,LWBP1,01553500,WBrSusquehanna
50,MCYP1,missing ,WBrSusquehanna
51,ILTP1,01553240,WBrSusquehanna
52,WIBP1,01556000,Juniata
53,SPKP1,01558000,Juniata
54,HUJP1,01559000,Juniata
55,SXTP1,01562000,Juniata
56,BELP1,01560000,
57,BEDP1,01559790,
58,RTBP1,01563200,Juniata
59,MPLP1,01563500,Juniata
60,SLYP1,01564512,Juniata
61,LWSP1,01564895,Juniata
62,PORP1,01566000,Juniata
63,NPTP1,01567000,Juniata
64,SBYP1,01554000,LowerMainStemSusq
65,PNCP1,01555000,LowerMainStemSusq
66,SMDP1,01568000,LowerMainStemSusq
67,HGSP1,01570000,LowerMainStemSusq
68,HARP1,01570500,LowerMainStemSusq
69,CPHP1,01571500,LowerMainStemSusq
70,HTVP1,01573000,LowerMainStemSusq
71,HERP1,01573560,LowerMainStemSusq
72,MTLP1,01573600,LowerMainStemSusq
73,MRTP1,01576000,LowerMainStemSusq
